Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
30380,1,60,666,1000,2542265,2829937,143507,0
30420,1,60,626,1000,2542241,2829939,572876,0
30460,1,60,586,1000,2542251,2829922,1.06429e+06,0
30500,1,60,546,1000,2542222,2829945,1.30295e+06,0
30540,1,60,506,1000,2542224,2829930,1.20913e+06,0
30580,1,60,466,1000,2542238,2829874,862301,0
30620,1,60,426,1000,2542199,2829925,404833,0
30660,1,60,750,1000,2542188,2829931,-32917.4,1
30700,1,60,710,1000,2542170,2829898,-370633,0
30740,1,60,670,1000,2542147,2829891,-582824,0
30800,1,60,610,1000,2542150,2829830,-683612,0
30840,1,60,570,1000,2542120,2829802,-705487,0
30880,1,60,530,1000,2542086,2829707,-681752,0
30920,1,60,490,1000,2542099,2829658,-636758,0
30960,1,60,450,1000,2542188,2829647,-583600,0
31000,1,60,410,1000,2542531,2829654,-526593,0
31020,1,60,390,1000,2548005,2832349,-465211,0
31060,1,60,350,1000,2264048,2002420,-414156,0
31100,1,60,310,1000,317551,589256,-499937,0
31140,1,60,270,1000,13428,19052,-826412,0
31180,1,60,230,1000,4331,6150,-1.20803e+06,0
31230,1,60,180,1000,2116,2161,-1.37211e+06,0
31270,1,60,140,1000,2016,1551,-1.23094e+06,0
31320,1,60,90,1000,2008,1550,-852183,0
31360,1,60,50,1000,1996,1544,-369178,0
31390,1,60,20,1000,1982,1521,92062.4,0
31430,1,60,980,1000,1966,1514,451589,0
31440,1,60,970,1000,1983,1512,682163,0
31480,1,60,930,1000,1963,1524,795835,0
31520,1,60,890,1000,1964,1542,823842,0
31560,1,60,850,1000,1954,1551,799431,0
31600,1,60,810,1000,1957,1547,747914,0
31650,1,60,760,1000,1949,1545,683925,0
31690,1,60,720,1000,1942,1552,613441,0
31730,1,60,680,1000,1941,1541,537684,0
31770,1,60,640,1000,1934,1532,456667,0
31810,1,60,600,1000,1931,1544,371327,0
31870,1,60,540,1000,1949,1543,284136,0
31910,1,60,500,1000,1949,1544,198653,0
31950,1,60,460,1000,1975,1547,118657,0
31990,1,60,420,1000,1947,1582,47345.1,0
32029,1,60,750,1000,1970,1558,-13133.3,1
32070,1,60,709,1000,1965,1536,-61780,0
32110,1,60,669,1000,1960,1521,-98591.1,0
32150,1,60,629,1000,1965,1527,-124274,0
32189,1,60,590,1000,1961,1544,-139955,0
32230,1,60,549,1000,2020,1557,-146958,0
32290,1,60,489,1000,1978,1554,-146664,0
32330,1,60,449,1000,1969,1564,-140444,0
32369,1,60,410,1000,1972,1562,-129614,0
32410,1,60,369,1000,1973,1545,-115416,0
32450,1,60,329,1000,1915,1554,-99009.5,0
32490,1,60,289,1000,1953,1549,-81449,0
6940,1,60,839,1000,2040,1677,-63650.9,0
6980,1,60,799,1000,2051,1675,-46388.5,0
7020,1,60,759,1000,2019,1677,-30297.7,0
7060,1,60,719,1000,2027,1667,-15857.8,0
7100,1,60,679,1000,2017,1680,-3380.68,0
7160,1,60,619,1000,2036,1690,6970.47,0
7200,1,60,579,1000,2045,1692,15156.2,0
7240,1,60,539,1000,2043,1691,21233.4,0
7280,1,60,499,1000,2045,1690,25332.5,0
7320,1,60,459,1000,2051,1675,27641.7,0
7380,1,60,399,1000,2033,1663,28387.7,0
7420,1,60,359,1000,2031,1653,27819.6,0
7460,1,60,319,1000,2027,1627,26198.1,0
7500,1,60,279,1000,2014,1621,23781.1,0
7540,1,60,239,1000,2031,1564,20814,0
7590,1,60,189,1000,2035,1546,17522.1,0
7630,1,60,149,1000,2023,1541,14100.6,0
7670,1,60,109,1000,2029,1560,10712.2,0
7710,1,60,69,1000,2042,1575,7491.69,0
7750,1,60,29,1000,2031,1587,4542.71,0
7790,1,60,989,1000,2014,1622,1935.87,0
7790,1,60,989,1000,1982,1684,-286.152,1
