Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC
0,1,60,750,1000,2.81672e+06,3.09709e+06
40,1,60,710,1000,2.81673e+06,3.09712e+06
80,1,60,670,1000,2.81676e+06,3.09716e+06
125,1,60,625,1000,2.8168e+06,3.09722e+06
165,1,60,585,1000,2.81684e+06,3.09732e+06
205,1,60,545,1000,2.8169e+06,3.0974e+06
245,1,60,505,1000,2.81692e+06,3.09746e+06
285,1,60,465,1000,2.81697e+06,3.09754e+06
328,1,60,422,1000,2.81697e+06,3.09759e+06
368,1,60,382,1000,2.81698e+06,3.09762e+06
408,1,60,342,1000,2.81695e+06,3.09765e+06
448,1,60,302,1000,2.81693e+06,3.09766e+06
488,1,60,262,1000,2.81693e+06,3.09768e+06
528,1,60,222,1000,2.81695e+06,3.09772e+06
533,1,60,217,1000,2.81697e+06,3.09779e+06
573,1,60,177,1000,2.81698e+06,3.09784e+06
613,1,60,137,1000,2.81698e+06,3.09773e+06
653,1,60,97,1000,2.81687e+06,3.09735e+06
693,1,60,57,1000,2.81673e+06,3.09696e+06
734,1,60,16,1000,2.8167e+06,3.09683e+06
774,1,60,976,1000,2.81672e+06,3.0968e+06
814,1,60,936,1000,2.81676e+06,3.09684e+06
854,1,60,896,1000,2.81679e+06,3.09696e+06
894,1,60,750,1000,2.81683e+06,3.09713e+06
934,1,60,710,1000,2.81685e+06,3.09722e+06
974,1,60,670,1000,2.81689e+06,3.09725e+06
1014,1,60,630,1000,2.8169e+06,3.09727e+06
1054,1,60,590,1000,2.81693e+06,3.09734e+06
1094,1,60,550,1000,2.81694e+06,3.09742e+06
1134,1,60,510,1000,2.81692e+06,3.09747e+06
1174,1,60,470,1000,2.81696e+06,3.09756e+06
1214,1,60,430,1000,2.81699e+06,3.09759e+06
1254,1,60,390,1000,2.81697e+06,3.09762e+06
1294,1,60,350,1000,2.81694e+06,3.09763e+06
1338,1,60,306,1000,2.81694e+06,3.09767e+06
1378,1,60,266,1000,2.81697e+06,3.09771e+06
1418,1,60,226,1000,2.81696e+06,3.0977e+06
1458,1,60,186,1000,2.81692e+06,3.09769e+06
1498,1,60,146,1000,2.81697e+06,3.09775e+06
1543,1,60,101,1000,2.81706e+06,3.09786e+06
1583,1,60,61,1000,2.81718e+06,3.09798e+06
1623,1,60,21,1000,2.8172e+06,3.09785e+06
1663,1,60,981,1000,2.81709e+06,3.09741e+06
1703,1,60,941,1000,2.81701e+06,3.09714e+06
1744,1,60,900,1000,2.81694e+06,3.09705e+06
1784,1,60,860,1000,2.81691e+06,3.09707e+06
1824,1,60,820,1000,2.81698e+06,3.09716e+06
1864,1,60,780,1000,2.81703e+06,3.09732e+06
1904,1,60,740,1000,2.81709e+06,3.09753e+06
1948,1,60,696,1000,2.81709e+06,3.09764e+06
1988,1,60,656,1000,2.81709e+06,3.09769e+06
