Time (s)Time (s),Red,IR
1110.2521249.873,2812238,3092781
1110.2921249.913,2812442,3093248
1110.3321249.957,2812617,3093659
1110.3721249.997,2812752,3094058
1110.4121250.037,2812865,3094396
1110.4531250.077,2812965,3094645
1110.4931250.117,2812974,3094581
1110.5331250.157,2812728,3093739
1110.5731250.197,2812510,3093014
1110.6131250.237,2812484,3092845
1110.6561250.277,2812517,3092910
1110.6961250.317,2812620,3093115
1110.7361250.362,2812736,3093443
1110.7761250.402,2812939,3093964
1110.8161250.442,2813105,3094398
1110.8621250.482,2813203,3094640
1110.9021250.522,2813272,3094828
1110.9421250.567,2813317,3094947
1110.9821250.607,2813325,3095045
1111.0221250.647,2813321,3095096
1111.0641250.687,2813316,3095095
1111.1041250.727,2813286,3095044
1111.1441250.77,2813235,3094972
1111.1841250.81,2813226,3094989
1111.2241250.85,2813238,3095000
1111.271250.89,2813245,3095033
1111.311250.93,2813279,3095119
1111.351250.972,2813302,3095210
1111.391251.012,2813343,3095333
1111.431251.052,2813386,3095450
1111.4731251.092,2813365,3095346
1111.5131251.132,2813131,3094600
1111.5531251.174,2812854,3093700
1111.5931251.214,2812766,3093420
1111.6331251.254,2812758,3093381
1111.6751251.294,2812766,3093423
1111.7151251.334,2812804,3093563
1111.7551251.381,2812880,3093763
1111.7951251.421,2812890,3093815
1111.8351251.461,2812889,3093830
1111.8761251.501,2812903,3093926
1111.9161251.541,2812973,3094089
1111.9561251.582,2813106,3094513
1111.9961251.622,2813170,3094710
1112.0361251.662,2813235,3094875
1112.0781251.702,2813269,3094967
1112.1181251.742,2813270,3095014
1112.1581251.784,2813286,3095083
1112.1981251.824,2813292,3095144
1112.2381251.864,2813300,3095184
1112.2821251.904,2813321,3095263
1112.3221251.944,2813351,3095348
1112.3621251.989,2813379,3095427
1112.4021252.029,2813377,3095398
1112.4421252.069,2813169,3094716
1112.4861252.109,2812828,3093641
1112.5261252.149,2812688,3093215
1112.5661252.193,2812650,3093075
