Time (s),Red,IR
1249.873,2812238,3092781
1249.913,2812442,3093248
1249.957,2812617,3093659
1249.997,2812752,3094058
1250.037,2812865,3094396
1250.077,2812965,3094645
1250.117,2812974,3094581
1250.157,2812728,3093739
1250.197,2812510,3093014
1250.237,2812484,3092845
1250.277,2812517,3092910
1250.317,2812620,3093115
1250.362,2812736,3093443
1250.402,2812939,3093964
1250.442,2813105,3094398
1250.482,2813203,3094640
1250.522,2813272,3094828
1250.567,2813317,3094947
1250.607,2813325,3095045
1250.647,2813321,3095096
1250.687,2813316,3095095
1250.727,2813286,3095044
1250.77,2813235,3094972
1250.81,2813226,3094989
1250.85,2813238,3095000
1250.89,2813245,3095033
1250.93,2813279,3095119
1250.972,2813302,3095210
1251.012,2813343,3095333
1251.052,2813386,3095450
1251.092,2813365,3095346
1251.132,2813131,3094600
1251.174,2812854,3093700
1251.214,2812766,3093420
1251.254,2812758,3093381
1251.294,2812766,3093423
1251.334,2812804,3093563
1251.381,2812880,3093763
1251.421,2812890,3093815
1251.461,2812889,3093830
1251.501,2812903,3093926
1251.541,2812973,3094089
1251.582,2813106,3094513
1251.622,2813170,3094710
1251.662,2813235,3094875
1251.702,2813269,3094967
1251.742,2813270,3095014
1251.784,2813286,3095083
1251.824,2813292,3095144
1251.864,2813300,3095184
1251.904,2813321,3095263
1251.944,2813351,3095348
1251.989,2813379,3095427
1252.029,2813377,3095398
1252.069,2813169,3094716
1252.109,2812828,3093641
1252.149,2812688,3093215
1252.193,2812650,3093075
1252.233,2812617,3093018
1252.273,2812602,3092989
1252.313,2812650,3093112
1252.353,2812691,3093237
1252.399,2812697,3093273
1252.439,2812692,3093292
1252.479,2812735,3093388
1252.519,2812796,3093541
1252.559,2812876,3093781
1252.604,2812988,3094054
1252.644,2813128,3094402
1252.684,2813268,3094751
1252.724,2813387,3095107
1252.764,2813487,3095380
1252.806,2813579,3095613
1252.846,2813653,3095828
1252.886,2813735,3096033
1252.926,2813795,3096190
1252.966,2813860,3096356
1253.012,2813922,3096467
1253.052,2813925,3096476
1253.092,2813815,3096067
1253.132,2813623,3095423
1253.172,2813484,3094984
1253.219,2813430,3094855
1253.259,2813432,3094857
1253.299,2813468,3094973
1253.339,2813554,3095276
1253.379,2813657,3095569
1253.419,2813735,3095771
1253.421,2813795,3095935
1253.461,2813867,3096106
1253.501,2813913,3096229
1253.541,2813938,3096370
1253.581,2813980,3096467
1253.624,2814011,3096517
1253.664,2814013,3096559
1253.704,2814025,3096596
1253.744,2814023,3096650
1253.784,2814017,3096654
1253.825,2814011,3096652
1253.865,2814000,3096686
1253.905,2814012,3096712
1253.945,2814014,3096744
1253.985,2814021,3096757
1254.031,2813940,3096574
1254.071,2813735,3095923
1254.111,2813444,3095060
1254.151,2813337,3094712
1254.191,2813308,3094621
1254.232,2813296,3094622
1254.272,2813349,3094778
1254.312,2813408,3094989
1254.352,2813454,3095111
1254.392,2813448,3095120
1254.437,2813444,3095113
1254.477,2813423,3095115
1254.517,2813447,3095172
1254.557,2813450,3095223
1254.597,2813446,3095249
1254.638,2813428,3095221
1254.678,2813435,3095269
1254.718,2813463,3095352
1254.758,2813493,3095433
1254.798,2813528,3095548
1254.839,2813565,3095679
1254.879,2813595,3095806
1254.919,2813636,3095940
1254.959,2813664,3096034
1254.999,2813662,3096025
1255.046,2813502,3095523
1255.086,2813220,3094662
1255.126,2813108,3094280
1255.166,2813083,3094193
1255.206,2813093,3094203
1255.248,2813122,3094309
1255.288,2813183,3094503
1255.328,2813225,3094618
1255.368,2813258,3094680
1255.408,2813303,3094833
1255.448,2813387,3095028
1255.449,2813468,3095239
1255.489,2813528,3095485
1255.529,2813614,3095711
1255.569,2813662,3095864
1255.609,2813678,3095935
1255.656,2813712,3096041
1255.696,2813742,3096124
1255.736,2813753,3096181
1255.776,2813746,3096227
1255.816,2813780,3096298
1255.862,2813800,3096350
1255.902,2813816,3096423
1255.942,2813839,3096505
1255.982,2813778,3096318
1256.022,2813495,3095458
1256.068,2813259,3094790
1256.108,2813182,3094551
1256.148,2813152,3094478
1256.188,2813122,3094427
1256.228,2813095,3094400
1256.268,2813017,3094338
1256.308,2812945,3094204
1256.348,2812913,3094164
1256.388,2812936,3094231
1256.428,2812948,3094301
1256.471,2812947,3094382
1256.511,2812968,3094512
1256.551,2813033,3094664
1256.591,2813074,3094785
1256.631,2813123,3094945
1256.677,2813182,3095213
1256.717,2813284,3095451
1256.757,2813422,3095800
1256.797,2813539,3096057
1256.837,2813599,3096193
1256.878,2813652,3096325
1256.918,2813705,3096443
1256.958,2813673,3096418
1256.998,2813407,3095686
1257.038,2812867,3094351
1257.083,2812582,3093663
1257.123,2812504,3093419
1257.163,2812489,3093335
1257.203,2812460,3093278
1257.243,2812450,3093298
1257.283,2812442,3093352
1257.287,2812435,3093339
1257.327,2812461,3093359
1257.367,2812510,3093479
1257.407,2812553,3093660
1257.447,2812678,3093949
1257.492,2812813,3094253
1257.532,2812963,3094655
1257.572,2813130,3095063
1257.612,2813302,3095518
1257.652,2813468,3095985
1257.694,2813606,3096319
1257.734,2813670,3096512
1257.774,2813714,3096644
1257.814,2813777,3096750
1257.854,2813800,3096832
1257.898,2813826,3096898
1257.938,2813802,3096851
1257.978,2813700,3096467
1258.018,2813541,3095935
1258.058,2813463,3095689
1258.102,2813450,3095657
1258.142,2813462,3095676
1258.182,2813501,3095797
1258.222,2813572,3096026
1258.262,2813633,3096199
1258.304,2813706,3096340
1258.344,2813761,3096471
1258.384,2813818,3096607
1258.424,2813865,3096751
1258.464,2813895,3096885
1258.509,2813938,3097008
1258.549,2814003,3097145
1258.589,2814034,3097253
1258.629,2814092,3097392
1258.669,2814138,3097501
1258.715,2814165,3097579
1258.755,2814175,3097632
1258.795,2814212,3097700
1258.835,2814269,3097787
1258.875,2814311,3097843
1258.915,2814300,3097848
1258.918,2814210,3097579
1258.958,2814116,3097265
1258.998,2814055,3097100
1259.038,2814066,3097090
1259.078,2814110,3097175
1259.122,2814122,3097255
1259.162,2814182,3097407
1259.202,2814232,3097499
1259.242,2814238,3097534
1259.282,2814253,3097569
1259.328,2814269,3097616
1259.368,2814300,3097661
1259.408,2814292,3097698
1259.448,2814316,3097746
1259.488,2814291,3097735
1259.534,2814258,3097676
1259.574,2814248,3097628
1259.614,2814252,3097637
