Time (s),Red,IR
56.633,2811589,3098806
56.673,2811547,3098832
56.713,2811464,3098622
56.753,2811141,3097877
56.793,2810885,3097271
56.839,2810702,3096972
56.879,2810847,3097349
56.919,2811198,3098178
56.959,2811239,3098284
56.999,2811052,3097979
57.044,2811166,3098201
57.084,2811093,3098022
57.124,2810927,3097539
57.164,2811053,3097519
57.204,2811154,3097668
57.248,2811433,3098307
57.288,2811750,3099038
57.328,2812079,3099735
57.368,2812324,3100193
57.408,2812335,3100249
57.448,2812358,3100371
57.453,2812286,3100299
57.493,2812103,3100045
57.533,2811761,3099460
57.573,2811634,3099201
57.613,2811531,3098956
57.655,2811358,3098653
57.695,2811267,3098413
57.735,2811107,3097947
57.775,2811007,3097530
57.815,2811025,3097407
57.861,2811431,3097648
57.901,2812040,3098113
57.941,2812125,3098123
57.981,2811998,3097884
58.021,2811766,3097538
58.066,2811200,3096831
58.106,2810590,3096262
58.146,2810349,3096231
58.186,2810318,3096346
58.226,2810356,3096521
58.269,2810345,3096554
58.309,2810176,3096058
58.349,2810003,3095462
58.389,2810065,3095544
58.429,2810255,3095979
58.474,2810585,3096580
58.514,2810906,3097253
58.554,2811000,3097495
58.594,2811081,3097733
58.634,2811180,3097973
58.68,2811437,3098510
58.72,2811629,3098878
58.76,2811476,3098676
58.8,2811380,3098521
58.84,2811393,3098544
58.882,2811186,3098313
58.922,2810700,3097582
58.962,2811044,3098007
59.002,2811164,3098034
59.042,2810396,3096245
59.083,2809817,3094906
59.123,2809722,3094578
59.163,2810038,3094912
59.203,2810633,3095797
59.243,2810877,3096285
59.286,2810871,3096356
59.326,2810836,3096282
59.366,2810771,3096231
59.406,2811115,3096941
59.446,2811309,3097487
59.49,2811379,3097631
59.53,2811432,3097750
59.57,2811247,3097475
59.61,2810701,3096674
59.65,2810571,3096418
59.692,2810932,3096746
59.732,2810803,3096247
59.772,2810697,3095872
59.812,2810725,3095900
59.852,2810703,3096019
59.894,2810459,3095715
59.934,2810806,3096409
59.974,2811360,3097504
60.014,2811898,3098738
60.054,2812217,3099531
60.097,2811807,3098950
60.137,2811515,3098513
60.177,2811456,3098543
60.217,2811105,3097972
60.257,2810909,3097551
60.302,2810927,3097572
60.342,2811339,3098207
60.382,2811786,3098959
60.422,2811939,3099185
60.462,2811261,3097611
60.506,2810872,3096589
60.546,2810871,3096502
60.586,2811151,3097320
60.626,2811814,3098770
60.666,2811538,3098368
60.712,2811644,3098658
60.752,2811581,3098560
60.792,2811296,3098084
60.832,2811058,3097714
60.872,2810942,3097678
60.915,2812107,3099889
60.955,2811915,3099587
60.995,2811770,3099287
61.035,2811750,3099018
61.075,2811246,3097398
61.119,2810962,3096677
61.159,2811230,3097294
61.199,2811417,3097884
61.239,2811349,3097920
61.279,2811371,3098030
61.323,2811031,3097256
61.363,2810684,3096499
61.403,2810565,3096222
61.443,2810816,3096618
61.483,2811286,3097487
61.526,2811739,3098503
61.566,2811722,3098643
61.606,2811560,3098328
61.646,2811485,3097917
61.686,2811026,3096600
61.733,2810774,3095838
61.773,2810694,3095566
61.813,2810883,3096089
61.853,2811129,3096778
61.893,2810923,3096408
61.934,2811002,3096700
61.974,2810834,3096283
62.014,2810693,3096002
62.054,2810903,3096511
62.094,2811889,3098635
62.14,2812715,3100187
62.18,2812366,3099510
62.22,2812395,3099603
62.26,2813336,3101309
62.3,2813117,3100832
62.345,2812083,3098558
62.385,2811574,3097460
62.425,2811797,3098138
62.465,2811830,3098226
62.505,2811754,3098017
62.55,2811632,3097763
62.59,2811439,3097624
62.63,2811664,3098325
62.67,2812553,3100144
62.71,2812846,3100810
62.75,2812692,3100553
62.757,2812635,3100373
62.797,2812749,3100517
62.837,2812590,3100189
62.877,2812248,3099334
62.917,2811517,3097283
62.962,2811494,3097119
63.002,2811363,3096791
63.042,2811029,3095952
63.082,2810898,3095702
63.122,2810882,3095797
63.167,2810941,3096014
63.207,2811642,3097641
63.247,2812858,3100181
63.287,2812925,3100354
63.327,2812514,3099499
63.37,2812113,3098570
63.41,2811820,3098009
63.45,2811702,3097865
63.49,2811453,3097271
63.53,2811628,3097446
63.574,2811915,3097972
63.614,2811542,3097178
63.654,2811282,3096647
63.694,2811180,3096545
63.734,2811405,3097314
63.78,2812449,3099553
63.82,2812735,3100098
63.86,2812718,3100116
63.9,2812789,3100254
63.94,2812644,3099937
63.986,2812412,3099425
64.026,2812810,3100315
64.066,2812929,3100408
64.106,2812869,3100015
64.146,2812400,3099130
