Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
56633,1,60,413,1000,2811589,3098806,158710,0
56673,1,60,373,1000,2811547,3098832,633565,0
56713,1,60,333,1000,2811464,3098622,1.17703e+06,0
56753,1,60,293,1000,2811141,3097877,1.44093e+06,0
56793,1,60,253,1000,2810885,3097271,1.3371e+06,0
56839,1,60,207,1000,2810702,3096972,953405,0
56879,1,60,167,1000,2810847,3097349,447379,0
56919,1,60,750,1000,2811198,3098178,-36729.9,1
56959,1,60,710,1000,2811239,3098284,-410072,0
56999,1,60,670,1000,2811052,3097979,-644540,0
57044,1,60,625,1000,2811166,3098201,-755849,0
57084,1,60,585,1000,2811093,3098022,-779962,0
57124,1,60,545,1000,2810927,3097539,-753709,0
57164,1,60,505,1000,2811053,3097519,-704002,0
57204,1,60,465,1000,2811154,3097668,-645274,0
57248,1,60,421,1000,2811433,3098307,-582277,0
57288,1,60,381,1000,2811750,3099038,-514759,0
57328,1,60,341,1000,2812079,3099735,-441550,0
57368,1,60,301,1000,2812324,3100193,-362921,0
57408,1,60,261,1000,2812335,3100249,-281155,0
57448,1,60,221,1000,2812358,3100371,-199932,0
57453,1,60,216,1000,2812286,3100299,-123246,0
57493,1,60,176,1000,2812103,3100045,-54489.8,0
57533,1,60,136,1000,2811761,3099460,4052.17,0
57573,1,60,96,1000,2811634,3099201,51327.9,0
57613,1,60,56,1000,2811531,3098956,87346.3,0
57655,1,60,14,1000,2811358,3098653,112819,0
57695,1,60,974,1000,2811267,3098413,128828,0
57735,1,60,934,1000,2811107,3097947,136607,0
57775,1,60,894,1000,2811007,3097530,137424,0
57815,1,60,854,1000,2811025,3097407,132531,0
57861,1,60,808,1000,2811431,3097648,123170,0
57901,1,60,768,1000,2812040,3098113,110552,0
57941,1,60,728,1000,2812125,3098123,95760.4,0
57981,1,60,688,1000,2811998,3097884,79678.9,0
58021,1,60,648,1000,2811766,3097538,63077.9,0
58066,1,60,603,1000,2811200,3096831,46665.4,0
58106,1,60,563,1000,2810590,3096262,31065.9,0
58146,1,60,523,1000,2810349,3096231,16836.6,0
58186,1,60,483,1000,2810318,3096346,4455.82,0
58226,0.969292,58,773,1031,2810356,3096521,-5766.08,1
58269,0.969292,58,730,1031,2810345,3096554,-13742.4,0
58309,0.969292,58,690,1031,2810176,3096058,-19583.2,0
58349,0.969292,58,650,1031,2810003,3095462,-23514,0
58389,0.969292,58,610,1031,2810065,3095544,-25772.3,0
58429,0.969292,58,570,1031,2810255,3095979,-26559.1,0
58474,0.969292,58,525,1031,2810585,3096580,-26065.9,0
58514,0.969292,58,485,1031,2810906,3097253,-24511,0
58554,0.969292,58,445,1031,2811000,3097495,-22161.6,0
58594,0.969292,58,405,1031,2811081,3097733,-19311,0
58634,0.969292,58,365,1031,2811180,3097973,-16212.2,0
58680,0.969292,58,319,1031,2811437,3098510,-13039.8,0
58720,0.969292,58,279,1031,2811629,3098878,-9910.86,0
58760,0.969292,58,239,1031,2811476,3098676,-6946.24,0
58800,0.969292,58,199,1031,2811380,3098521,-4274.47,0
58840,0.969292,58,159,1031,2811393,3098544,-1964.45,0
58882,0.969292,58,117,1031,2811186,3098313,-30.6159,0
58922,0.969292,58,77,1031,2810700,3097582,1502.72,0
58962,0.969292,58,37,1031,2811044,3098007,2658.23,0
59002,0.969292,58,1028,1031,2811164,3098034,3542.12,0
59042,0.969292,58,988,1031,2810396,3096245,4169.55,0
59083,0.969292,58,947,1031,2809817,3094906,4443.27,0
59123,0.969292,58,907,1031,2809722,3094578,4372.33,0
59163,0.969292,58,867,1031,2810038,3094912,4123.77,0
59203,0.969292,58,827,1031,2810633,3095797,3888.45,0
59243,0.969292,58,787,1031,2810877,3096285,3743.45,0
59286,0.969292,58,744,1031,2810871,3096356,3608.6,0
59326,0.969292,58,704,1031,2810836,3096282,3352.82,0
59366,0.969292,58,664,1031,2810771,3096231,2913.88,0
59406,0.969292,58,624,1031,2811115,3096941,2339.36,0
59446,0.969292,58,584,1031,2811309,3097487,1743.11,0
59490,0.969292,58,540,1031,2811379,3097631,1198.49,0
59530,0.969292,58,500,1031,2811432,3097750,714.483,0
59570,0.969292,58,460,1031,2811247,3097475,271.473,0
59610,0.980012,58,765,1020,2810701,3096674,-177.937,1
59650,0.980012,58,725,1020,2810571,3096418,-651.521,0
59692,0.980012,58,683,1020,2810932,3096746,-1053.78,0
59732,0.980012,58,643,1020,2810803,3096247,-1276.51,0
59772,0.980012,58,603,1020,2810697,3095872,-1333.02,0
59812,0.980012,58,563,1020,2810725,3095900,-1287.55,0
59852,0.980012,58,523,1020,2810703,3096019,-1179.15,0
59894,0.980012,58,481,1020,2810459,3095715,-1050.55,0
59934,0.980012,58,441,1020,2810806,3096409,-916.952,0
59974,0.980012,58,401,1020,2811360,3097504,-717.194,0
60014,0.980012,58,361,1020,2811898,3098738,-396.051,0
60054,0.980012,58,321,1020,2812217,3099531,7.36437,0
60097,0.980012,58,278,1020,2811807,3098950,350.985,0
60137,0.980012,58,238,1020,2811515,3098513,478.133,0
60177,0.980012,58,198,1020,2811456,3098543,370.663,0
60217,0.980012,58,158,1020,2811105,3097972,127.705,0
60257,1.06965,64,700,934,2810909,3097551,-151.676,1
60302,1.06965,64,655,934,2810927,3097572,-375.573,0
60342,1.06965,64,615,934,2811339,3098207,-448.605,0
60382,1.06965,64,575,934,2811786,3098959,-315.452,0
60422,1.06965,64,535,934,2811939,3099185,-24.0869,0
60462,1.06965,64,495,934,2811261,3097611,247.057,0
60506,1.06965,64,451,934,2810872,3096589,310.005,0
60546,1.06965,64,411,934,2810871,3096502,158.212,0
60586,0.98546,59,760,1014,2811151,3097320,-46.1511,1
60626,0.98546,59,720,1014,2811814,3098770,-120.852,0
60666,0.98546,59,680,1014,2811538,3098368,-20.3056,0
60712,0.98546,59,634,1014,2811644,3098658,140.459,0
60752,0.98546,59,594,1014,2811581,3098560,254.91,0
60792,0.98546,59,554,1014,2811296,3098084,271.541,0
60832,0.98546,59,514,1014,2811058,3097714,167.421,0
60872,0.998697,59,750,1001,2810942,3097678,-17.8582,1
60915,0.998697,59,707,1001,2812107,3099889,-134.593,0
60955,0.998697,59,667,1001,2811915,3099587,-56.9244,0
60995,0.998697,59,627,1001,2811770,3099287,115.607,0
61035,0.998697,59,587,1001,2811750,3099018,225.068,0
61075,0.998697,59,547,1001,2811246,3097398,203.387,0
61119,0.998697,59,503,1001,2810962,3096677,33.0403,0
61159,0.996991,59,752,1003,2811230,3097294,-198.144,1
61199,0.996991,59,712,1003,2811417,3097884,-339.5,0
61239,0.996991,59,672,1003,2811349,3097920,-335.628,0
61279,0.996991,59,632,1003,2811371,3098030,-240.499,0
61323,0.996991,59,588,1003,2811031,3097256,-140.561,0
61363,0.996991,59,548,1003,2810684,3096499,-117.339,0
61403,0.996991,59,508,1003,2810565,3096222,-186.705,0
61443,0.996991,59,468,1003,2810816,3096618,-267.337,0
61483,0.996991,59,428,1003,2811286,3097487,-242.335,0
61526,0.996991,59,385,1003,2811739,3098503,-52.7005,0
61566,0.996991,59,345,1003,2811722,3098643,237.967,0
61606,0.996991,59,305,1003,2811560,3098328,478.191,0
61646,0.996991,59,265,1003,2811485,3097917,558.51,0
61686,0.996991,59,225,1003,2811026,3096600,457.178,0
61733,0.996991,59,178,1003,2810774,3095838,206.777,0
61773,1.09699,65,683,911,2810694,3095566,-96.6051,1
61813,1.09699,65,643,911,2810883,3096089,-322.129,0
61853,1.09699,65,603,911,2811129,3096778,-377.854,0
61893,1.09699,65,563,911,2810923,3096408,-281.736,0
61934,1.09699,65,522,911,2811002,3096700,-133.519,0
61974,1.09699,65,482,911,2810834,3096283,-12.9981,0
62014,1.09699,65,442,911,2810693,3096002,36.4116,0
62054,1.09699,65,402,911,2810903,3096511,27.2986,0
62094,1.09699,65,362,911,2811889,3098635,72.6929,0
62140,1.09699,65,316,911,2812715,3100187,297.251,0
62180,1.09699,65,276,911,2812366,3099510,629.786,0
62220,1.09699,65,236,911,2812395,3099603,846.434,0
62260,1.09699,65,196,911,2813336,3101309,892.172,0
62300,1.09699,65,156,911,2813117,3100832,850.422,0
62345,1.09699,65,111,911,2812083,3098558,657.334,0
62385,1.09699,65,71,911,2811574,3097460,217.141,0
62425,1.12878,67,663,885,2811797,3098138,-339.264,1
62465,1.12878,67,623,885,2811830,3098226,-766.205,0
62505,1.12878,67,583,885,2811754,3098017,-949.809,0
62550,1.12878,67,538,885,2811632,3097763,-931.439,0
62590,1.12878,67,498,885,2811439,3097624,-809.892,0
62630,1.12878,67,458,885,2811664,3098325,-652.475,0
62670,1.12878,67,418,885,2812553,3100144,-423.645,0
62710,1.12878,67,378,885,2812846,3100810,-78.6141,0
62750,1.12878,67,338,885,2812692,3100553,282.234,0
62757,1.12878,67,331,885,2812635,3100373,501.532,0
62797,1.12878,67,291,885,2812749,3100517,536.112,0
62837,1.12878,67,251,885,2812590,3100189,436.212,0
62877,1.12878,67,211,885,2812248,3099334,244.406,0
62917,1.22878,73,609,813,2811517,3097283,-34.1728,1
62962,1.22878,73,564,813,2811494,3097119,-359.906,0
63002,1.22878,73,524,813,2811363,3096791,-618.885,0
63042,1.22878,73,484,813,2811029,3095952,-743.247,0
63082,1.22878,73,444,813,2810898,3095702,-752.538,0
63122,1.22878,73,404,813,2810882,3095797,-670.155,0
63167,1.22878,73,359,813,2810941,3096014,-508.773,0
63207,1.22878,73,319,813,2811642,3097641,-256.32,0
63247,1.22878,73,279,813,2812858,3100181,150.959,0
63287,1.22878,73,239,813,2812925,3100354,683.876,0
63327,1.22878,73,199,813,2812514,3099499,1109.65,0
63370,1.22878,73,156,813,2812113,3098570,1202.5,0
63410,1.22878,73,116,813,2811820,3098009,944.386,0
63450,1.22878,73,76,813,2811702,3097865,486.606,0
63490,1.22878,73,36,813,2811453,3097271,14.627,0
63530,1.23648,74,606,808,2811628,3097446,-332.947,1
63574,1.23648,74,562,808,2811915,3097972,-466.698,0
63614,1.23648,74,522,808,2811542,3097178,-412.852,0
63654,1.23648,74,482,808,2811282,3096647,-313.934,0
63694,1.23648,74,442,808,2811180,3096545,-268.908,0
63734,1.23648,74,402,808,2811405,3097314,-258.441,0
63780,1.23648,74,356,808,2812449,3099553,-165.74,0
63820,1.23648,74,316,808,2812735,3100098,95.0056,0
63860,1.23648,74,276,808,2812718,3100116,423.916,0
63900,1.23648,74,236,808,2812789,3100254,650.72,0
63940,1.23648,74,196,808,2812644,3099937,694.182,0
63986,1.23648,74,150,808,2812412,3099425,550.389,0
64026,1.23648,74,110,808,2812810,3100315,303.858,0
64066,1.23648,74,70,808,2812929,3100408,93.9657,0
64106,1.29336,77,579,773,2812869,3100015,-24.0255,1
64146,1.29336,77,539,773,2812400,3099130,-111.064,0
64191,1.29336,77,494,773,2811960,3098123,-253.745,0
64231,1.29336,77,454,773,2811424,3096997,-482.349,0
64271,1.29336,77,414,773,2811361,3096970,-738.774,0
64310,1.29336,77,375,773,2811682,3097685,-889.592,0
64350,1.29336,77,335,773,2813297,3100632,-749.395,0
64394,1.29336,77,291,773,2813816,3101611,-237.84,0
64434,1.29336,77,251,773,2813216,3100630,396.473,0
64475,1.29336,77,210,773,2812447,3099011,750.289,0
64515,1.29336,77,170,773,2812252,3098766,664.891,0
64555,1.29336,77,130,773,2812455,3099441,309.371,0
64600,1.38539,83,540,721,2812955,3100589,-24.6536,1
64641,1.38539,83,499,721,2813688,3101852,-122.644,0
64681,1.38539,83,459,721,2814134,3102468,57.527,0
64721,1.38539,83,419,721,2813623,3101558,343.519,0
64761,1.38539,83,379,721,2812810,3099829,452.808,0
64806,1.38539,83,334,721,2811794,3097515,212.104,0
64846,1.28539,77,582,777,2811446,3096974,-313.425,1
64886,1.28539,77,542,777,2811938,3098228,-836.334,0
64926,1.28539,77,502,777,2813059,3100465,-1014.26,0
64966,1.28539,77,462,777,2813175,3100823,-736.333,0
65009,1.28539,77,419,777,2812822,3100288,-237.797,0
65049,1.28539,77,379,777,2812469,3099489,152.777,0
65088,1.28539,77,340,777,2812138,3098635,275.427,0
65128,1.28539,77,300,777,2811969,3098335,159.457,0
65169,1.26942,76,590,787,2812208,3099116,-43.5353,1
65214,1.26942,76,545,787,2812977,3100814,-133.267,0
65254,1.26942,76,505,787,2813727,3102238,27.0518,0
65295,1.26942,76,464,787,2813631,3102192,373.388,0
65335,1.26942,76,424,787,2813017,3100841,652.702,0
65375,1.26942,76,384,787,2811856,3098048,611.963,0
65420,1.26942,76,339,787,2811833,3098241,225.929,0
65461,1.24485,74,602,803,2812909,3100453,-204.124,1
65501,1.24485,74,562,803,2813183,3101060,-351.797,0
65541,1.24485,74,522,803,2813266,3101340,-201.867,0
65581,1.24485,74,482,803,2812997,3100851,45.9909,0
65627,1.24485,74,436,803,2812743,3100335,198.184,0
65667,1.24485,74,396,803,2812623,3100061,180.459,0
65707,1.24485,74,356,803,2812468,3099822,36.4392,0
65747,1.22398,73,612,817,2812407,3099768,-148.513,1
65787,1.22398,73,572,817,2812955,3100912,-263.252,0
65827,1.22398,73,532,817,2813063,3101217,-223.947,0
65867,1.22398,73,492,817,2812748,3100612,-89.8664,0
65907,1.22398,73,452,817,2812332,3099633,-9.45249,0
65947,1.22398,73,412,817,2811616,3097911,-86.5619,0
65987,1.22398,73,372,817,2811470,3097658,-309.399,0
66031,1.22398,73,328,817,2812332,3099684,-494.202,0
66071,1.22398,73,288,817,2812586,3100354,-442,0
66111,1.22398,73,248,817,2812270,3099841,-194.201,0
66151,1.22398,73,208,817,2812063,3099352,50.3647,0
66191,1.22398,73,168,817,2812038,3099088,177.075,0
66238,1.22398,73,121,817,2811787,3098415,182.176,0
66278,1.22398,73,81,817,2811764,3098530,104.847,0
66318,1.22398,73,41,817,2812203,3099705,36.645,0
66358,1.22398,73,1,817,2812505,3100387,76.5961,0
66398,1.22398,73,778,817,2812479,3100328,216.717,0
66439,1.22398,73,737,817,2812423,3100224,356.797,0
66479,1.22398,73,697,817,2812263,3099743,409.811,0
66519,1.22398,73,657,817,2811916,3098800,336.409,0
66559,1.22398,73,617,817,2811556,3097896,139.193,0
66599,1.22826,73,610,814,2811692,3098145,-106.789,1
66640,1.22826,73,569,814,2812419,3099717,-243.05,0
66680,1.22826,73,529,814,2812505,3100115,-168.971,0
66720,1.22826,73,489,814,2812141,3099430,14.122,0
66760,1.22826,73,449,814,2812056,3099158,135.849,0
66800,1.22826,73,409,814,2812007,3099050,141.009,0
66840,1.22826,73,369,814,2811826,3098650,58.995,0
66880,1.18026,70,635,847,2812280,3099852,-36.3851,1
66920,1.18026,70,595,847,2813158,3101593,-11.9028,0
66960,1.18026,70,555,847,2813157,3101734,179.668,0
67000,1.18026,70,515,847,2813106,3101764,403.096,0
67044,1.18026,70,471,847,2813184,3101884,517.186,0
67084,1.18026,70,431,847,2812540,3100442,456.119,0
67124,1.18026,70,391,847,2812254,3099912,200.276,0
67164,1.16916,70,641,855,2812487,3100603,-142.433,1
67204,1.16916,70,601,855,2813564,3102530,-339.632,0
67249,1.16916,70,556,855,2813488,3102360,-264.701,0
67289,1.16916,70,516,855,2812688,3100732,-88.3918,0
67329,1.16916,70,476,855,2811988,3098791,-77.5316,0
67369,1.16916,70,436,855,2811713,3098175,-294.798,0
67409,1.16916,70,396,855,2811834,3098625,-587.64,0
67449,1.16916,70,356,855,2811987,3099206,-760.853,0
67451,1.16916,70,354,855,2812947,3101332,-678.426,0
67491,1.16916,70,314,855,2813830,3102958,-283.395,0
67531,1.16916,70,274,855,2813212,3101950,261.627,0
67571,1.16916,70,234,855,2812668,3100771,617.618,0
