Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
23750,1,60,296,1000,2258461,1980996,30.0234,0
23790,1,60,256,1000,2258192,1980849,249.511,0
23830,1,60,216,1000,2257885,1980655,1021.7,0
23870,1,60,176,1000,2257998,1980857,2799.13,0
23910,1,60,136,1000,2258214,1981110,5849.67,0
23970,1,60,76,1000,2258280,1981226,8765.62,0
24010,1,60,750,1000,2258228,1981136,-4041.18,1
24050,1,60,710,1000,2257767,1980533,-125237,0
24090,1,60,670,1000,2257616,1980231,-739488,0
24130,1,60,630,1000,2258237,1980590,-3.08111e+06,0
24170,1,60,590,1000,2258120,1980415,-1.03532e+07,0
24174,1,60,586,1000,2257614,1980035,-2.89244e+07,0
24214,1,60,546,1000,2257578,1980084,-6.39802e+07,0
24254,1,60,506,1000,2257882,1980385,-7.96265e+07,0
24294,1,60,466,1000,2258044,1980546,1.95718e+08,0
24334,1,60,426,1000,2257999,1980569,2.0031e+09,0
24394,1.1,66,681,909,2257569,1980292,9.8493e+09,1
24434,1.1,66,641,909,2257639,1980438,3.74464e+10,0
24474,1.1,66,601,909,2258014,1980792,1.19049e+11,0
24514,1.1,66,561,909,2257956,1980821,3.14855e+11,0
24554,1.1,66,521,909,2257588,1980606,6.24462e+11,0
24614,1.1,66,461,909,2257648,1980731,4.16041e+11,0
24654,1.1,66,421,909,2257765,1980930,-4.05515e+12,0
24694,1.1,66,381,909,2257936,1981130,-2.83937e+13,0
24734,1.1,66,341,909,2258197,1981331,-1.26004e+14,0
24774,1.1,66,301,909,2257735,1980626,-4.50571e+14,0
24814,1.1,66,261,909,2257090,1979954,-1.35576e+15,0
24817,1.1,66,258,909,2257716,1980318,-3.33401e+15,0
24857,1.1,66,218,909,2258274,1980659,-5.61244e+15,0
24897,1.1,66,178,909,2257913,1980317,1.53361e+15,0
24937,1.1,66,138,909,2257300,1979897,6.76915e+16,0
24977,1.1,66,98,909,2257206,1979897,3.85323e+17,0
25036,1.1,66,39,909,2257618,1980267,1.57777e+18,0
25076,1.1,66,908,909,2258023,1980633,5.33135e+18,0
25116,1.1,66,868,909,2257707,1980418,1.5136e+19,0
25156,1.1,66,828,909,2257030,1979969,3.40767e+19,0
25196,1.1,66,788,909,2257315,1980287,4.4008e+19,0
25238,1.1,66,746,909,2257915,1980845,-9.4862e+19,0
25278,1.1,66,706,909,2257605,1980658,-1.02189e+21,0
25318,1.1,66,666,909,2257128,1980360,-5.06819e+21,0
25358,1.1,66,626,909,2257221,1980514,-1.93794e+22,0
25398,1.1,66,586,909,2257452,1980780,-6.19828e+22,0
25458,1.1,66,526,909,2257789,1981071,-1.65155e+23,0
25498,1.1,66,486,909,2257599,1980744,-3.32043e+23,0
25538,1.1,66,446,909,2256960,1979981,-2.44327e+23,0
25578,1.1,66,406,909,2256988,1979811,2.01812e+24,0
25618,1.1,66,366,909,2257830,1980325,1.4516e+25,0
25658,1.1,66,326,909,2257965,1980310,6.49926e+25,0
25659,1.1,66,325,909,2257018,1979586,2.33776e+26,0
25699,1.1,66,285,909,2256925,1979588,7.07462e+26,0
25739,1.1,66,245,909,2257604,1980183,1.75369e+27,0
25779,1.1,66,205,909,2257819,1980373,3.01105e+27,0
25819,1.1,66,165,909,2257249,1979973,-4.57373e+26,0
25879,1.1,66,105,909,2256893,1979775,-3.41485e+28,0
25919,1.1,66,65,909,2257168,1980079,-1.97686e+29,0
25959,1.1,66,25,909,2257536,1980424,-8.15516e+29,0
25999,1.1,66,457,909,2257490,1980459,-2.77112e+30,0
26039,1.1,66,417,909,2257157,1980281,-7.91511e+30,0
26080,1.1,66,376,909,2256973,1980218,-1.79954e+31,0
26120,1.1,66,336,909,2257164,1980453,-2.40542e+31,0
26160,1.1,66,296,909,2257718,1980951,4.52682e+31,0
26200,1.1,66,256,909,2257713,1980904,5.19525e+32,0
26240,1.1,66,216,909,2257103,1980196,2.60755e+33,0
26299,1.1,66,157,909,2256944,1979830,1.00356e+34,0
26339,1.1,66,117,909,2257591,1980166,3.22754e+34,0
26379,1.1,66,77,909,2257900,1980263,8.65784e+34,0
26419,1.1,66,37,909,2257369,1979783,1.76337e+35,0
26459,1.1,66,906,909,2256931,1979519,1.41551e+35,0
26501,1.1,66,864,909,2257675,1980212,-1.00182e+36,0
26541,1.1,66,824,909,2257526,1980127,-7.41746e+36,0
26581,1.1,66,784,909,2257086,1979852,-3.35174e+37,0
26621,1.1,66,744,909,2257032,1979876,-1.21277e+38,0
26661,1.1,66,704,909,2257415,1980263,-3.69092e+38,0
26719,1.1,66,646,909,2257593,1980465,-9.2209e+38,0
26759,1.1,66,606,909,2257326,1980328,-1.61342e+39,0
26799,1.1,66,566,909,2257099,1980234,6.14157e+37,0
26839,1.1,66,526,909,2257233,1980410,1.7209e+40,0
26879,1.1,66,486,909,2257475,1980680,1.01388e+41,0
26940,1.1,66,425,909,2257556,1980810,4.21441e+41,0
26980,1.1,66,385,909,2257439,1980630,1.44011e+42,0
27020,1.1,66,345,909,2257119,1980128,4.13813e+42,0
27060,1.1,66,305,909,2257057,1979853,9.49875e+42,0
27100,1.1,66,265,909,2257527,1980056,1.31124e+43,0
27160,1.1,66,205,909,2257200,1979670,-2.14308e+43,0
27200,1.1,66,165,909,2257161,1979717,-2.63959e+44,0
27240,1.1,66,125,909,2257382,1979963,-1.34122e+45,0
27280,1.1,66,85,909,2257540,1980125,-5.196e+45,0
