Time (s),Red,IR
23.75,2258461,1980996
23.79,2258192,1980849
23.83,2257885,1980655
23.87,2257998,1980857
23.91,2258214,1981110
23.97,2258280,1981226
24.01,2258228,1981136
24.05,2257767,1980533
24.09,2257616,1980231
24.13,2258237,1980590
24.17,2258120,1980415
24.174,2257614,1980035
24.214,2257578,1980084
24.254,2257882,1980385
24.294,2258044,1980546
24.334,2257999,1980569
24.394,2257569,1980292
24.434,2257639,1980438
24.474,2258014,1980792
24.514,2257956,1980821
24.554,2257588,1980606
24.614,2257648,1980731
24.654,2257765,1980930
24.694,2257936,1981130
24.734,2258197,1981331
24.774,2257735,1980626
24.814,2257090,1979954
24.817,2257716,1980318
24.857,2258274,1980659
24.897,2257913,1980317
24.937,2257300,1979897
24.977,2257206,1979897
25.036,2257618,1980267
25.076,2258023,1980633
25.116,2257707,1980418
25.156,2257030,1979969
25.196,2257315,1980287
25.238,2257915,1980845
25.278,2257605,1980658
25.318,2257128,1980360
25.358,2257221,1980514
25.398,2257452,1980780
25.458,2257789,1981071
25.498,2257599,1980744
25.538,2256960,1979981
25.578,2256988,1979811
25.618,2257830,1980325
25.658,2257965,1980310
25.659,2257018,1979586
25.699,2256925,1979588
25.739,2257604,1980183
25.779,2257819,1980373
25.819,2257249,1979973
25.879,2256893,1979775
25.919,2257168,1980079
25.959,2257536,1980424
25.999,2257490,1980459
26.039,2257157,1980281
26.08,2256973,1980218
26.12,2257164,1980453
26.16,2257718,1980951
26.2,2257713,1980904
26.24,2257103,1980196
26.299,2256944,1979830
26.339,2257591,1980166
26.379,2257900,1980263
26.419,2257369,1979783
26.459,2256931,1979519
26.501,2257675,1980212
26.541,2257526,1980127
26.581,2257086,1979852
26.621,2257032,1979876
26.661,2257415,1980263
26.719,2257593,1980465
26.759,2257326,1980328
26.799,2257099,1980234
26.839,2257233,1980410
26.879,2257475,1980680
26.94,2257556,1980810
26.98,2257439,1980630
27.02,2257119,1980128
27.06,2257057,1979853
27.1,2257527,1980056
27.16,2257200,1979670
27.2,2257161,1979717
27.24,2257382,1979963
27.28,2257540,1980125
27.32,2257550,1980171
27.379,2257456,1980162
27.419,2257497,1980278
27.459,2257646,1980462
27.499,2257679,1980565
27.539,2257634,1980600
27.582,2257579,1980629
27.622,2257706,1980807
27.662,2257871,1981008
27.702,2257977,1981132
27.742,2258009,1981029
27.8,2257722,1980561
27.84,2257821,1980431
27.88,2258355,1980722
27.92,2258231,1980539
27.96,2257898,1980306
28,2257918,1980395
28,2258152,1980625
28.04,2258345,1980820
28.08,2258296,1980826
28.12,2258006,1980668
28.16,2257977,1980716
28.221,2258410,1981120
28.261,2258440,1981206
28.301,2257943,1980886
28.341,2257873,1980912
28.381,2258158,1981213
28.439,2258321,1981404
28.479,2258328,1981409
28.519,2257894,1980849
28.559,2257589,1980374
28.599,2258151,1980673
28.639,2258366,1980740
28.643,2257891,1980336
28.683,2257651,1980170
28.723,2257661,1980342
28.763,2258091,1980669
28.803,2258081,1980691
28.86,2257485,1980264
28.9,2257491,1980374
28.94,2257910,1980775
28.98,2258033,1980929
29.02,2257834,1980837
29.082,2257508,1980656
29.122,2257653,1980849
29.162,2257975,1981181
29.202,2258279,1981399
29.242,2257861,1980835
29.282,2257275,1980134
29.304,2257804,1980384
29.344,2258206,1980564
29.384,2257875,1980231
29.424,2257372,1979904
29.464,2257323,1979932
29.523,2257932,1980447
29.563,2258036,1980563
29.603,2257425,1980128
29.643,2257199,1980035
29.683,2257550,1980401
29.725,2257590,1980526
29.765,2257219,1980288
29.805,2257302,1980488
29.845,2257620,1980826
29.944,2257823,1980776
29.984,2257214,1980010
30.024,2257719,1980180
30.064,2258400,1980523
30.104,2258489,1980458
30.163,2257790,1979919
30.203,2257795,1980014
30.243,2258103,1980300
30.283,2258216,1980415
30.323,2257756,1980119
30.365,2257408,1979926
30.405,2257406,1980000
30.445,2257619,1980254
30.485,2257573,1980273
30.525,2257067,1979945
30.585,2256889,1979907
30.625,2256857,1979968
30.665,2256878,1980059
30.705,2256836,1979926
30.745,2256187,1979128
30.785,2255813,1978600
30.787,2256820,1979158
30.827,2257375,1979492
30.867,2256874,1979024
30.907,2255995,1978442
30.947,2256265,1978752
31.007,2256433,1978886
31.047,2254760,1977606
31.087,2253711,1976887
31.127,2254710,1977778
31.167,2255431,1978407
31.226,2255515,1978525
31.266,2255389,1978519
31.306,2255263,1978517
31.346,2255154,1978500
31.386,2255580,1978935
31.426,2256334,1979503
31.447,2256081,1979041
31.487,2255106,1978054
31.527,2255870,1978439
31.567,2256807,1979047
31.607,2256267,1978539
31.667,2255635,1978135
31.707,2256394,1978841
31.747,2257168,1979465
31.787,2257258,1979512
31.827,2257177,1979579
31.867,2257667,1980049
31.867,2258124,1980476
31.907,2258405,1980757
31.947,2258600,1980968
31.987,2258507,1980966
32.027,2258438,1980991
32.088,2258739,1981318
32.128,2259014,1981527
32.168,2258379,1980818
32.208,2257877,1980186
32.248,2258364,1980422
32.308,2258800,1980667
32.348,2258369,1980277
32.388,2257881,1979968
32.428,2257837,1980035
32.468,2258120,1980314
32.508,2258153,1980384
32.528,2257804,1980180
32.568,2257499,1980039
32.608,2257569,1980179
32.648,2257828,1980479
32.688,2257691,1980430
32.749,2257125,1980086
32.789,2256952,1980031
32.829,2257154,1980321
32.869,2257428,1980498
32.909,2257102,1980032
32.949,2256216,1979132
32.97,2256857,1979516
33.01,2257683,1980088
33.05,2257256,1979694
33.09,2256452,1979166
33.13,2256818,1979549
33.171,2257826,1980369
33.211,2257976,1980534
33.251,2257556,1980257
33.291,2257491,1980283
33.331,2257346,1980272
33.391,2257395,1980382
33.431,2257695,1980692
33.471,2257441,1980574
33.511,2256966,1980280
33.551,2258034,1981218
33.612,2257499,1980556
33.652,2256486,1979599
33.692,2257293,1980143
33.732,2258049,1980720
33.772,2258008,1980609
33.832,2257135,1980010
33.872,2256928,1979938
33.912,2257350,1980322
33.952,2257996,1980858
33.992,2257797,1980763
34.051,2256700,1980058
34.091,2257321,1980630
34.131,2257820,1981060
34.171,2257595,1980950
34.211,2257434,1980919
34.253,2258271,1981640
34.293,2258501,1981680
34.333,2257844,1980938
34.373,2257167,1980275
34.413,2256815,1979902
34.472,2256194,1979403
34.512,2255634,1979003
34.552,2255359,1978843
34.592,2254796,1978462
34.632,2254971,1978656
34.672,2255485,1979089
34.712,2255412,1979080
34.752,2254631,1978543
34.792,2254477,1978452
34.832,2254744,1978815
34.893,2255460,1979410
34.933,2255471,1979482
34.973,2254592,1978876
35.013,2255485,1979522
35.053,2255379,1979191
35.093,2254358,1978189
35.113,2254644,1978306
35.153,2255826,1979108
35.193,2256351,1979481
35.233,2254467,1978044
35.273,2252930,1976967
35.314,2253832,1977772
35.354,2255646,1979192
35.394,2255256,1978914
35.434,2253459,1977608
35.474,2253231,1977531
35.535,2253874,1978101
35.575,2253972,1978239
35.615,2253800,1978162
35.655,2252770,1977454
35.695,2252411,1977221
35.735,2254448,1978663
35.755,2254869,1978697
35.795,2253008,1977044
35.835,2252105,1976254
35.875,2253426,1977225
35.915,2254170,1977826
35.955,2253951,1977695
35.995,2252625,1976723
36.035,2251995,1976293
36.075,2252480,1976745
36.115,2253153,1977309
36.175,2253094,1977334
36.215,2252429,1976893
36.255,2251974,1976615
36.295,2252303,1976956
36.335,2252864,1977476
36.375,2252943,1977584
36.377,2252659,1977312
36.417,2252484,1976960
36.457,2252755,1976941
36.497,2253610,1977448
36.537,2253396,1977157
36.595,2252846,1976720
36.635,2253008,1976922
36.675,2253682,1977482
36.715,2253767,1977583
36.755,2253260,1977232
36.816,2253263,1977306
36.856,2253580,1977615
36.896,2254198,1978162
36.936,2254551,1978483
36.976,2253919,1978058
37.016,2254168,1978436
37.056,2254986,1979077
37.096,2254615,1978571
37.136,2253279,1977263
37.236,2253972,1977545
37.276,2254044,1977532
37.316,2253176,1976891
37.356,2252823,1976692
37.396,2252891,1976799
37.437,2253573,1977341
37.477,2253485,1977331
37.517,2252635,1976715
37.557,2252224,1976487
37.597,2252937,1977110
37.658,2253323,1977453
37.698,2252590,1976944
37.738,2252146,1976747
37.778,2252969,1977391
37.818,2253602,1977643
37.877,2252783,1976752
37.917,2252479,1976328
37.957,2253341,1976860
37.997,2253385,1976814
38.037,2253198,1976675
38.077,2253410,1976902
38.077,2253305,1976846
38.117,2253213,1976815
