Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
23750,1,60,296,1000,2258461,1980996,127487,0
23790,1,60,256,1000,2258192,1980849,508910,0
23830,1,60,216,1000,2257885,1980655,945404,0
23870,1,60,176,1000,2257998,1980857,1.15733e+06,0
23910,1,60,136,1000,2258214,1981110,1.07394e+06,0
23970,1,60,76,1000,2258280,1981226,765868,0
24010,1,60,36,1000,2258228,1981136,359577,0
24050,1,60,750,1000,2257767,1980533,-29220.5,1
24090,1,60,710,1000,2257616,1980231,-329245,0
24130,1,60,670,1000,2258237,1980590,-517793,0
24170,1,60,630,1000,2258120,1980415,-607302,0
24174,1,60,626,1000,2257614,1980035,-626681,0
24214,1,60,586,1000,2257578,1980084,-605604,0
24254,1,60,546,1000,2257882,1980385,-565673,0
24294,1,60,506,1000,2258044,1980546,-518442,0
24334,1,60,466,1000,2257999,1980569,-467759,0
24394,1,60,406,1000,2257569,1980292,-413519,0
24434,1,60,366,1000,2257639,1980438,-354838,0
24474,1,60,326,1000,2258014,1980792,-291844,0
24514,1,60,286,1000,2257956,1980821,-226246,0
24554,1,60,246,1000,2257588,1980606,-160988,0
24614,1,60,186,1000,2257648,1980731,-99326.8,0
24654,1,60,146,1000,2257765,1980930,-43979.6,0
24694,1,60,106,1000,2257936,1981130,3251.25,0
24734,1,60,66,1000,2258197,1981331,41512.7,0
24774,1,60,26,1000,2257735,1980626,70714.1,0
24814,1,60,986,1000,2257090,1979954,91269,0
24817,1,60,983,1000,2257716,1980318,104038,0
24857,1,60,943,1000,2258274,1980659,110205,0
24897,1,60,903,1000,2257913,1980317,110883,0
24937,1,60,863,1000,2257300,1979897,106942,0
24977,1,60,823,1000,2257206,1979897,99243.9,0
25036,1,60,764,1000,2257618,1980267,88795.1,0
25076,1,60,724,1000,2258023,1980633,76624.4,0
25116,1,60,684,1000,2257707,1980418,63563.9,0
25156,1,60,644,1000,2257030,1979969,50192.1,0
25196,1,60,604,1000,2257315,1980287,37035.7,0
25238,1,60,562,1000,2257915,1980845,24700.8,0
25278,1,60,522,1000,2257605,1980658,13649.6,0
25318,1,60,482,1000,2257128,1980360,4041.86,0
25358,0.969221,58,773,1031,2257221,1980514,-4064.17,1
25398,0.969221,58,733,1031,2257452,1980780,-10562.3,0
25458,0.969221,58,673,1031,2257789,1981071,-15388.6,0
25498,0.969221,58,633,1031,2257599,1980744,-18628.5,0
25538,0.969221,58,593,1031,2256960,1979981,-20529.4,0
25578,0.969221,58,553,1031,2256988,1979811,-21343.2,0
25618,0.969221,58,513,1031,2257830,1980325,-21149.1,0
25658,0.969221,58,473,1031,2257965,1980310,-19993.5,0
25659,0.969221,58,472,1031,2257018,1979586,-18153.9,0
25699,0.969221,58,432,1031,2256925,1979588,-15996,0
25739,0.969221,58,392,1031,2257604,1980183,-13644.5,0
25779,0.969221,58,352,1031,2257819,1980373,-11083.6,0
25819,0.969221,58,312,1031,2257249,1979973,-8451.76,0
25879,0.969221,58,252,1031,2256893,1979775,-5995.32,0
25919,0.969221,58,212,1031,2257168,1980079,-3820.38,0
25959,0.969221,58,172,1031,2257536,1980424,-1868.42,0
25999,0.969221,58,132,1031,2257490,1980459,-107.378,0
26039,0.969221,58,92,1031,2257157,1980281,1378.25,0
26080,0.969221,58,51,1031,2256973,1980218,2491.15,0
26120,0.969221,58,11,1031,2257164,1980453,3243.14,0
26160,0.969221,58,1002,1031,2257718,1980951,3753.3,0
26200,0.969221,58,962,1031,2257713,1980904,4111.94,0
26240,0.969221,58,922,1031,2257103,1980196,4259.7,0
26299,0.969221,58,863,1031,2256944,1979830,4106.42,0
26339,0.969221,58,823,1031,2257591,1980166,3740.72,0
26379,0.969221,58,783,1031,2257900,1980263,3352.26,0
26419,0.969221,58,743,1031,2257369,1979783,2973.72,0
26459,0.969221,58,703,1031,2256931,1979519,2490.73,0
26501,0.969221,58,661,1031,2257675,1980212,1918.09,0
26541,0.969221,58,621,1031,2257526,1980127,1395.44,0
26581,0.969221,58,581,1031,2257086,1979852,930.963,0
26621,0.969221,58,541,1031,2257032,1979876,462.206,0
26661,0.969221,58,501,1031,2257415,1980263,38.6918,0
26719,0.947716,56,791,1055,2257593,1980465,-247.724,1
26759,0.947716,56,751,1055,2257326,1980328,-409.069,0
26799,0.947716,56,711,1055,2257099,1980234,-541.489,0
26839,0.947716,56,671,1055,2257233,1980410,-683.288,0
26879,0.947716,56,631,1055,2257475,1980680,-780.268,0
26940,0.947716,56,570,1055,2257556,1980810,-784.319,0
26980,0.947716,56,530,1055,2257439,1980630,-721.074,0
27020,0.947716,56,490,1055,2257119,1980128,-664.59,0
27060,0.947716,56,450,1055,2257057,1979853,-659.629,0
27100,0.947716,56,410,1055,2257527,1980056,-650.259,0
27160,0.947716,56,350,1055,2257200,1979670,-574.878,0
27200,0.947716,56,310,1055,2257161,1979717,-471.38,0
27240,0.947716,56,270,1055,2257382,1979963,-365.495,0
27280,0.947716,56,230,1055,2257540,1980125,-229.496,0
27320,0.947716,56,190,1055,2257550,1980171,-68.7977,0
27379,0.947716,56,131,1055,2257456,1980162,69.1136,0
27419,0.947716,56,91,1055,2257497,1980278,149.033,0
27459,0.947716,56,51,1055,2257646,1980462,185.258,0
27499,0.947716,56,11,1055,2257679,1980565,209.113,0
