Time (s),Red,IR
1.398,2541936,2545117
1.438,2541955,2545304
1.478,2542033,2545332
1.518,2542112,2545486
1.62,2542288,2545787
1.66,2542267,2545875
1.7,2542247,2545999
1.74,2542363,2546139
1.78,2542397,2546166
1.82,2542349,2546049
1.86,2542451,2546119
1.9,2542429,2546256
1.94,2542438,2546256
1.98,2542434,2546254
2.022,2542434,2546278
2.062,2542437,2546284
2.102,2542480,2546424
2.142,2542443,2546337
2.182,2542254,2545839
2.225,2542090,2545434
2.265,2542008,2545297
2.305,2541982,2545206
2.345,2542022,2545252
2.385,2542015,2545279
2.444,2542044,2545324
2.484,2542083,2545436
2.524,2542070,2545391
2.564,2542117,2545502
2.604,2542160,2545582
2.646,2542276,2545714
2.686,2542370,2545761
2.726,2542318,2545910
2.766,2542359,2546028
2.866,2542440,2546224
2.906,2542461,2546286
2.946,2542509,2546391
2.986,2542555,2546475
3.026,2542586,2546539
3.068,2542618,2546681
3.108,2542668,2546769
3.148,2542546,2546409
3.188,2542319,2545988
3.228,2542206,2545653
3.268,2542103,2545422
3.308,2542102,2545420
3.348,2542172,2545503
3.388,2542229,2545728
3.428,2542255,2545775
3.488,2542289,2545866
3.528,2542339,2545971
3.568,2542443,2546122
3.608,2542492,2546283
3.648,2542536,2546395
3.692,2542579,2546517
3.732,2542621,2546641
3.772,2542618,2546354
3.812,2542577,2546656
3.852,2542705,2546791
3.912,2542758,2546886
3.952,2542780,2546982
3.992,2542781,2546957
4.032,2542777,2546971
4.072,2542847,2547106
4.132,2542776,2546971
4.172,2542584,2546479
4.212,2542408,2546074
4.252,2542304,2545826
4.292,2542209,2545630
4.333,2542226,2545671
4.373,2542281,2545755
4.413,2542276,2545746
4.453,2542264,2545669
4.493,2542303,2545815
4.533,2542317,2545836
4.573,2542365,2545965
4.613,2542358,2546096
4.653,2542511,2546173
4.693,2542479,2546234
4.735,2542605,2546242
4.775,2542385,2546213
4.815,2542510,2546263
4.855,2542551,2546302
4.895,2542595,2546485
4.935,2542659,2546598
4.975,2542654,2546620
5.015,2542653,2546626
5.055,2542718,2546752
5.095,2542691,2546692
5.136,2542513,2546277
5.176,2542329,2545846
5.216,2542184,2545481
5.256,2542133,2545406
5.296,2542130,2545408
5.338,2542182,2545507
5.378,2542218,2545620
5.418,2542236,2545633
5.458,2542273,2545722
5.498,2542279,2545724
5.538,2542304,2545769
5.578,2542367,2545928
5.618,2542403,2545996
5.658,2542413,2546013
5.698,2542434,2546088
5.76,2542445,2546132
5.8,2542451,2546105
5.84,2542483,2546146
5.88,2542490,2546238
5.92,2542555,2546351
5.96,2542590,2546485
5.961,2542630,2546552
6.001,2542619,2546609
6.041,2542639,2546558
6.081,2542453,2546129
6.121,2542286,2545769
6.162,2542219,2545584
6.202,2542191,2545533
6.242,2542185,2545660
6.282,2542317,2545844
6.322,2542367,2545950
6.363,2542347,2545920
6.403,2542388,2545986
6.443,2542369,2546055
6.483,2542472,2546193
6.523,2542537,2546341
6.564,2542615,2546522
6.604,2542656,2546592
6.644,2542724,2546759
6.684,2542748,2546708
6.724,2542761,2546844
6.784,2542805,2546974
6.824,2542853,2547064
6.864,2542880,2547151
6.904,2542947,2547299
6.944,2542986,2547435
6.988,2543023,2547510
7.028,2542953,2547359
7.068,2542781,2546916
7.108,2542628,2546550
7.148,2542560,2546420
7.206,2542616,2546501
7.246,2542692,2546706
7.286,2542778,2546926
7.326,2542821,2547003
7.366,2542820,2547096
7.406,2542928,2547184
7.426,2542978,2547351
7.466,2543003,2547529
7.506,2543107,2547601
7.546,2543129,2547659
7.586,2543163,2547759
7.627,2543209,2547878
7.667,2543253,2547945
7.707,2543245,2547931
7.747,2543186,2548064
7.787,2543330,2548148
7.849,2543341,2548135
7.889,2543348,2548190
7.929,2543383,2548289
7.969,2543322,2548124
8.009,2543152,2547732
8.049,2542984,2547345
8.051,2542844,2547005
8.091,2542804,2546922
8.131,2542805,2546915
8.171,2542847,2547038
8.211,2542886,2547131
8.252,2542887,2547123
8.292,2542901,2547161
8.332,2542915,2547191
8.372,2542974,2547292
8.412,2543009,2547429
8.453,2543041,2547513
8.493,2543038,2547462
8.533,2543021,2547406
8.573,2543013,2547398
8.613,2543039,2547508
8.654,2543075,2547551
8.694,2543051,2547586
8.734,2543073,2547704
8.774,2543179,2547907
8.814,2543167,2547808
8.875,2543156,2547807
8.915,2543063,2547587
8.955,2542875,2547184
8.995,2542767,2546949
9.035,2542719,2546816
9.098,2542692,2546777
9.138,2542766,2546928
9.178,2542865,2547179
9.218,2542985,2547535
9.258,2543138,2547810
9.298,2543166,2547858
9.318,2543200,2547929
9.358,2543252,2548043
9.398,2543296,2548101
9.438,2543305,2548135
9.478,2543287,2548106
9.519,2543285,2548071
9.559,2543294,2548094
9.599,2543330,2548189
9.639,2543357,2548245
9.679,2543350,2548258
9.722,2543410,2548324
9.762,2543244,2548415
9.802,2543176,2548380
9.842,2543297,2548128
9.882,2543140,2547727
