Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
1398,1,60,352,1000,2541936,2545117,143488,0
1438,1,60,312,1000,2541955,2545304,572804,0
1478,1,60,272,1000,2542033,2545332,1.06416e+06,0
1518,1,60,232,1000,2542112,2545486,1.30282e+06,0
1620,1,60,130,1000,2542288,2545787,1.20906e+06,0
1660,1,60,90,1000,2542267,2545875,862327,0
1700,1,60,50,1000,2542247,2545999,404949,0
1740,1,60,750,1000,2542363,2546139,-32745.9,1
1780,1,60,710,1000,2542397,2546166,-370434,0
1820,1,60,670,1000,2542349,2546049,-582623,0
1860,1,60,630,1000,2542451,2546119,-683433,0
1900,1,60,590,1000,2542429,2546256,-705340,0
1940,1,60,550,1000,2542438,2546256,-681640,0
1980,1,60,510,1000,2542434,2546254,-636681,0
2022,1,60,468,1000,2542434,2546278,-583566,0
2062,1,60,428,1000,2542437,2546284,-526634,0
2102,1,60,388,1000,2542480,2546424,-465671,0
2142,1,60,348,1000,2542443,2546337,-399611,0
2182,1,60,308,1000,2542254,2545839,-328675,0
2225,1,60,265,1000,2542090,2545434,-254890,0
2265,1,60,225,1000,2542008,2545297,-181527,0
2305,1,60,185,1000,2541982,2545206,-112153,0
2345,1,60,145,1000,2542022,2545252,-49820.4,0
2385,1,60,105,1000,2542015,2545279,3391.45,0
2444,1,60,46,1000,2542044,2545324,46478.9,0
2484,1,60,6,1000,2542083,2545436,79366.3,0
2524,1,60,966,1000,2542070,2545391,102632,0
2564,1,60,926,1000,2542117,2545502,117232,0
2604,1,60,886,1000,2542160,2545582,124299,0
2646,1,60,844,1000,2542276,2545714,125015,0
2686,1,60,804,1000,2542370,2545761,120537,0
2726,1,60,764,1000,2542318,2545910,111964,0
2766,1,60,724,1000,2542359,2546028,100334,0
2866,1,60,624,1000,2542440,2546224,86638.4,0
2906,1,60,584,1000,2542461,2546286,71804.3,0
2946,1,60,544,1000,2542509,2546391,56646.9,0
2986,1,60,504,1000,2542555,2546475,41857.8,0
3026,1,60,464,1000,2542586,2546539,27993.2,0
3068,1,60,422,1000,2542618,2546681,15468.1,0
3108,1,60,382,1000,2542668,2546769,4565.05,0
3148,1,60,750,1000,2542546,2546409,-4561.91,1
