Time (s),Red,IR
62.88,3091272,3360099
62.92,3091337,3360228
62.96,3091432,3360409
63.00,3091518,3360644
63.04,3091573,3360808
63.09,3091534,3360725
63.13,3091375,3360336
63.17,3091155,3359817
63.22,3091008,3359446
63.26,3090920,3359232
63.30,3090944,3359289
63.30,3090976,3359430
63.34,3090973,3359464
63.38,3090937,3359416
63.42,3090941,3359427
63.46,3090959,3359489
63.52,3090981,3359583
63.55,3091041,3359724
63.59,3091088,3359909
63.63,3091145,3360047
63.67,3091187,3360175
63.73,3091258,3360334
63.77,3091308,3360480
63.81,3091374,3360631
63.85,3091424,3360785
63.89,3091481,3360940
63.93,3091342,3360718
63.97,3091131,3360161
64.01,3090958,3359737
64.05,3090883,3359538
64.09,3090894,3359541
64.15,3090951,3359677
64.19,3090967,3359758
64.23,3090954,3359762
64.27,3090940,3359750
64.31,3090960,3359804
64.37,3090988,3359923
64.41,3091056,3360035
64.45,3091120,3360207
64.49,3091164,3360325
64.53,3091212,3360463
64.58,3091237,3360585
64.62,3091280,3360667
64.66,3091337,3360801
64.70,3091377,3360982
64.74,3091439,3361116
64.78,3091400,3361029
64.79,3091189,3360520
64.83,3090910,3359834
64.87,3090715,3359339
64.91,3090636,3359048
64.95,3090605,3359050
65.00,3090671,3359179
65.04,3090689,3359254
65.08,3090686,3359218
65.12,3090678,3359195
65.16,3090713,3359222
65.22,3090758,3359316
65.26,3090836,3359485
65.30,3090889,3359662
65.34,3090975,3359817
65.38,3091034,3359947
65.42,3091079,3360091
65.42,3091127,3360221
65.46,3091192,3360371
65.50,3091278,3360535
65.54,3091319,3360670
65.58,3091287,3360625
0.12,3091054,3360079
0.16,3090774,3359372
0.20,3090572,3358844
0.24,3090471,3096970
0.28,3090476,3096990
0.34,3090552,3097143
0.38,3090602,3097286
0.42,3090614,3097298
0.46,3090616,3097294
0.50,3090677,3097400
0.55,3090818,3097724
0.59,3090908,3097915
0.63,3090985,3098112
0.67,3091063,3098290
0.71,3091129,3098415
0.76,3091198,3098545
0.80,3091272,3098749
0.84,3091350,3098922
0.88,3091393,3099091
0.92,3091395,3099131
0.97,3091224,3098707
1.01,3090958,3098081
1.05,3090776,3097590
1.09,3090676,3097356
1.13,3090681,3097342
1.19,3090749,3097481
1.23,3090807,3097641
1.27,3090818,3097691
1.31,3090825,3097695
1.35,3090859,3097765
1.39,3090942,3097929
1.39,3091016,3098094
1.43,3091102,3098302
1.47,3091180,3098494
1.51,3091242,3098664
1.55,3091302,3098802
1.61,3091342,3098941
1.65,3091406,3099116
1.69,3091470,3099269
1.73,3091526,3099438
1.77,3091559,3099549
1.83,3091456,3099299
1.87,3091219,3098735
1.91,3091000,3098179
1.95,3090877,3097914
1.99,3090837,3097799
2.03,3090874,3097880
2.04,3090931,3098054
2.08,3090944,3098050
2.12,3090949,3098095
2.16,3090960,3098168
2.20,3091029,3098254
2.25,3091095,3098405
2.29,3091142,3098572
2.33,3091231,3098747
2.37,3091290,3098927
2.41,3091345,3099042
2.47,3091391,3099184
2.51,3091443,3099344
2.55,3091511,3099516
2.59,3091580,3099678
2.63,3091630,3099820
2.67,3091579,3099778
2.68,3091381,3099305
2.72,3091176,3098769
2.76,3091022,3098422
2.80,3090964,3098273
2.84,3091002,3098351
2.90,3091058,3098508
2.94,3091071,3098607
2.98,3091081,3098583
3.02,3091082,3098580
3.06,3091119,3098660
3.10,3091218,3098919
3.15,3091294,3099114
3.19,3091343,3099275
3.23,3091401,3099377
3.32,3091493,3099624
3.36,3091551,3099781
3.40,3091609,3099933
3.44,3091657,3100069
3.48,3091552,3099859
3.54,3091336,3099347
3.58,3091119,3098817
3.62,3090995,3098509
3.66,3090954,3098387
3.70,3091007,3098483
3.74,3091044,3098612
3.78,3091075,3098661
3.82,3091076,3098650
3.86,3091078,3098675
3.90,3091137,3098751
3.96,3091175,3098878
4.00,3091250,3099058
4.04,3091321,3099235
4.08,3091387,3099381
4.12,3091435,3099518
4.16,3091456,3099625
4.18,3091492,3099729
4.22,3091573,3099880
4.26,3091619,3100040
4.30,3091607,3100062
4.34,3091437,3099665
4.39,3091183,3098982
4.43,3090961,3098440
4.47,3090820,3098099
4.51,3090786,3097978
4.55,3090819,3098054
4.59,3090867,3098158
4.60,3090886,3098175
4.64,3090871,3098188
4.68,3090904,3098221
4.72,3090942,3098344
4.76,3091015,3098492
4.81,3091093,3098668
4.85,3091169,3098838
4.89,3091212,3098978
4.93,3091276,3099118
4.97,3091328,3099276
5.03,3091382,3099407
5.07,3091446,3099591
5.11,3091496,3099706
5.15,3091423,3099587
5.19,3091209,3099061
5.23,3090803,3098063
5.27,3090734,3097888
5.31,3090746,3097890
5.35,3090803,3098032
5.45,3090833,3098141
5.49,3090829,3098147
5.53,3090885,3098242
5.57,3090922,3098395
5.61,3091028,3098538
5.66,3091065,3098711
5.70,3091139,3098878
5.74,3091203,3099031
5.78,3091236,3099127
5.82,3091291,3099299
5.88,3091359,3099459
5.92,3091418,3099606
5.96,3091420,3099659
6.00,3091303,3099390
6.04,3091084,3098871
6.08,3090906,3098455
6.08,3090799,3098231
6.12,3090790,3098147
6.17,3090821,3098265
6.21,3090854,3098345
6.25,3090859,3098354
6.30,3090854,3098350
6.34,3090872,3098433
6.38,3090913,3098555
6.42,3090969,3098681
6.46,3091017,3098808
6.52,3091081,3098970
6.56,3091140,3099100
6.60,3091172,3099211
6.64,3091215,3099327
6.68,3091274,3099494
