Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
62880,1,60,166,1000,3091272,3360099,174497,0
62920,1,60,126,1000,3091337,3360228,696595,0
62960,1,60,86,1000,3091432,3360409,1.29415e+06,0
63000,1,60,46,1000,3091518,3360644,1.58438e+06,0
63040,1,60,6,1000,3091573,3360808,1.47036e+06,0
63090,1,60,956,1000,3091534,3360725,1.04866e+06,0
63130,1,60,916,1000,3091375,3360336,492394,0
63170,1,60,750,1000,3091155,3359817,-39958.6,1
63220,1,60,700,1000,3091008,3359446,-450723,0
63260,1,60,660,1000,3090920,3359232,-708866,0
63300,1,60,620,1000,3090944,3359289,-831509,0
63300,1,60,620,1000,3090976,3359430,-858127,0
63340,1,60,580,1000,3090973,3359464,-829212,0
63380,1,60,540,1000,3090937,3359416,-774409,0
63420,1,60,500,1000,3090941,3359427,-709688,0
63460,1,60,460,1000,3090959,3359489,-640347,0
63520,1,60,400,1000,3090981,3359583,-566136,0
63550,1,60,370,1000,3091041,3359724,-485753,0
63590,1,60,330,1000,3091088,3359909,-399438,0
63630,1,60,290,1000,3091145,3360047,-309628,0
63670,1,60,250,1000,3091187,3360175,-220305,0
63730,1,60,190,1000,3091258,3360334,-135850,0
63770,1,60,150,1000,3091308,3360480,-60018.1,0
63810,1,60,110,1000,3091374,3360631,4646.69,0
63850,1,60,70,1000,3091424,3360785,56940,0
63890,1,60,30,1000,3091481,3360940,96797.8,0
63930,1,60,990,1000,3091342,3360718,124941,0
63970,1,60,950,1000,3091131,3360161,142531,0
64010,1,60,910,1000,3090958,3359737,150940,0
64050,1,60,870,1000,3090883,3359538,151621,0
64089,1,60,831,1000,3090894,3359541,146020,0
64150,1,60,770,1000,3090951,3359677,135522,0
64190,1,60,730,1000,3090967,3359758,121414,0
64230,1,60,690,1000,3090954,3359762,104871,0
64269,1,60,651,1000,3090940,3359750,86962.5,0
64309,1,60,611,1000,3090960,3359804,68647.1,0
64370,1,60,550,1000,3090988,3359923,50756.8,0
64410,1,60,510,1000,3091056,3360035,33972.8,0
64449,1,60,471,1000,3091120,3360207,18811.5,0
64489,1,60,431,1000,3091164,3360325,5620.22,0
64530,0.967613,58,774,1033,3091212,3360463,-5409.78,1
64580,0.967613,58,724,1033,3091237,3360585,-14217.3,0
64620,0.967613,58,684,1033,3091280,3360667,-20845,0
64660,0.967613,58,644,1033,3091337,3360801,-25413.4,0
64699,0.967613,58,605,1033,3091377,3360982,-28103.5,0
64739,0.967613,58,565,1033,3091439,3361116,-29141.5,0
