Time (s),Red,IR,filtered,isZeroX
41.14,5491,10137,0.29,0
41.18,5490,10137,-0.75,0
41.22,5487,10138,-0.28,0
41.26,5486,10139,0.47,0
41.30,5491,10142,1.23,0
41.36,5478,10132,1.59,0
41.40,5481,10125,0.68,0
41.44,5481,10106,-0.74,0
41.48,5478,10104,-1.64,1
41.52,5487,10095,-1.5,0
41.56,5499,10082,0.89,0
41.60,5486,10075,4.65,0
41.64,5489,10084,6.81,0
41.68,5484,10070,6.35,0
41.76,5465,10090,2.95,0
41.80,5473,10096,-2.75,1
41.84,5487,10095,-6.58,0
41.88,5470,10097,-6.57,0
41.98,5480,10099,-4.84,0
42.02,5486,10108,-1.97,0
42.06,5480,10113,1.58,0
42.10,5481,10114,3.91,0
42.14,5493,10114,5.15,0
42.20,5501,10106,7.03,0
42.24,5504,10100,9.75,0
42.28,5507,10093,11.99,0
42.32,5499,10095,12.11,0
42.36,5498,10082,9.15,0
42.40,5493,10096,3.86,0
42.44,5500,10092,-1.62,1
42.48,5501,10105,-5.1,0
42.52,5498,10105,-6.26,0
42.56,5502,10096,-6.08,0
42.62,5498,10100,-5.32,0
42.66,5501,10087,-4.63,0
42.70,5476,10085,-5.5,0
47.27,3365520,3385471,-6963.48,0
47.31,3365434,3385401,-11138.53,0
47.35,3365315,3385232,-14062.15,0
47.39,3365228,3385106,-15860.99,0
47.45,3365164,3385025,-16677.01,0
47.49,3365029,3384897,-16660.83,0
47.53,3365001,3384831,-15965.51,0
47.57,3365017,3384869,-14730.08,0
47.61,3365023,3384929,-13087.13,0
47.65,3365005,3384981,-11176.06,0
47.69,3364944,3384820,-9136.31,0
47.73,3364889,3384720,-7091.48,0
47.77,3364830,3384697,-5136.06,0
47.81,3364893,3384767,-3328.26,0
47.86,3364799,3384757,-1705.48,0
47.90,3364865,3384876,-298.56,0
47.94,3364825,3384861,875.85,0
47.98,3364773,3384823,1805.81,0
48.02,3364717,3384785,2485.13,0
48.08,3364620,3384746,2923.58,0
48.12,3364636,3384840,3149.03,0
48.16,3364577,3384832,3202.42,0
48.20,3364607,3384933,3122.27,0
48.24,3364538,3384838,2938.55,0
48.30,3364544,3384826,2673.19,0
48.34,3364540,3384828,2349.47,0
48.38,3364483,3384818,1988.55,0
48.42,3364459,3384804,1605.29,0
48.46,3364421,3384700,1217.5,0
48.50,3364341,3384506,841.22,0
48.54,3364280,3384380,487.74,0
48.58,3364216,3384330,169.43,0
48.62,3364227,3384413,-98.07,1
48.66,3364210,3384444,-301.39,0
48.70,3364210,3384467,-439.34,0
48.72,3364233,3384640,-519.38,0
48.76,3364254,3384702,-550.92,0
48.80,3364237,3384652,-547.94,0
48.84,3364181,3384649,-528.97,0
48.88,3364132,3384566,-508.47,0
48.94,3364098,3384503,-488.34,0
48.98,3364120,3384546,-458.57,0
49.02,3364090,3384508,-409.63,0
49.06,3364099,3384485,-342.5,0
49.10,3364077,3384524,-264.42,0
49.14,3364010,3384453,-188.06,0
49.18,3363949,3384399,-127.34,0
49.22,3363917,3384341,-85.03,0
49.26,3363809,3384132,-57.64,0
49.35,3363721,3383953,-44.77,0
49.39,3363741,3384004,-36.86,0
49.43,3363715,3384080,-17.02,0
49.47,3363696,3384091,18.08,0
49.51,3363700,3384167,61.1,0
49.57,3363666,3384129,102.91,0
49.61,3363697,3384178,136.37,0
49.65,3363716,3384263,161.86,0
49.69,3363675,3384291,177.58,0
49.73,3363680,3384311,178.06,0
49.78,3363663,3384331,164.68,0
49.83,3363695,3384380,144.77,0
49.87,3363652,3384355,123.45,0
49.91,3363648,3384365,99.74,0
49.95,3363616,3384379,72.85,0
49.99,3363569,3384359,42.56,0
50.03,3363562,3384285,10.45,0
50.07,3363445,3384020,-22.68,1
50.11,3363349,3383847,-62.57,0
50.15,3363316,3383797,-106.05,0
50.21,3363303,3383778,-136.58,0
50.25,3363269,3383824,-143.09,0
50.29,3363267,3383876,-126.73,0
50.33,3363270,3383926,-93.27,0
50.37,3363246,3383883,-51.85,0
50.43,3363233,3383861,-13.72,0
50.47,3363194,3383800,13.24,0
50.51,3363179,3383767,26.8,0
50.55,3363161,3383785,30.87,0
50.59,3363170,3383827,32.64,0
50.63,3363131,3383748,35.82,0
50.63,3363068,3383699,35.59,0
50.67,3363049,3383665,27.66,0
50.71,3363043,3383560,17.5,0
50.75,3363064,3383579,14.3,0
50.79,3363056,3383545,21.74,0
50.84,3362980,3383400,31.04,0
50.88,3362873,3383167,25.45,0
50.92,3362818,3383044,-1.32,1
50.96,3362832,3383034,-34.29,0
51.00,3362881,3383142,-49.04,0
51.05,3362868,3383201,-35.46,0
51.09,3362867,3383244,-4.51,0
51.13,3362902,3383280,30.25,0
51.17,3362915,3383241,62.04,0
51.21,3362954,3383256,87.03,0
51.26,3362976,3383364,103.95,0
51.30,3362948,3383368,109.46,0
51.34,3363001,3383429,102.46,0
51.38,3363016,3383514,90.43,0
51.41,3363015,3383500,77.52,0
51.46,3363051,3383569,63.85,0
51.50,3363069,3383555,52.03,0
51.54,3363104,3383681,43.59,0
51.58,3363094,3383681,36.25,0
51.62,3363025,3383600,21.08,0
51.68,3362978,3383451,-10.22,1
51.72,3362854,3383223,-58.28,0
51.76,3362835,3383205,-114.62,0
51.80,3362813,3383206,-159.63,0
51.84,3362883,3383308,-172.85,0
51.88,3362879,3383367,-147.8,0
51.88,3362940,3383492,-95.14,0
51.92,3362955,3383516,-31.69,0
51.96,3362876,3383486,20.34,0
52.00,3362853,3383486,41.54,0
52.04,3362879,3383550,36.68,0
52.08,3362888,3383613,25.33,0
52.12,3362862,3383623,18.02,0
52.16,3362924,3383711,18.25,0
52.20,3362927,3383743,29.1,0
52.24,3362962,3383836,46.92,0
52.30,3362909,3383847,60.92,0
52.34,3362902,3383863,60.41,0
52.38,3362951,3383941,48.63,0
52.42,3362890,3383894,34.13,0
52.46,3362827,3383734,12.9,0
52.52,3362715,3383479,-22.33,1
52.56,3362697,3383439,-67.22,0
52.60,3362727,3383507,-101.76,0
52.64,3362713,3383578,-108.91,0
52.68,3362754,3383691,-88.57,0
52.72,3362768,3383751,-49.01,0
52.73,3362822,3383829,-0.83,0
52.77,3362810,3383840,44.06,0
52.80,3362825,3383869,74.32,0
52.84,3362786,3383871,83.64,0
52.88,3362801,3383884,73.84,0
52.95,3362838,3383966,56.88,0
52.99,3362812,3383959,43.15,0
53.03,3362835,3384049,33.31,0
53.07,3362839,3384050,27.25,0
53.11,3362831,3384074,23.46,0
53.17,3362826,3384112,18.06,0
53.21,3362796,3384098,8.26,0
53.25,3362792,3384084,-6.19,1
53.29,3362674,3383859,-27.51,0
53.33,3362605,3383674,-60.96,0
53.37,3362555,3383616,-101.11,0
53.37,3362576,3383645,-130.02,0
53.41,3362566,3383691,-132.82,0
53.45,3362576,3383770,-109.06,0
53.49,3362591,3383829,-67.84,0
53.53,3362552,3383806,-22.99,0
53.57,3362569,3383786,12.63,0
53.61,3362580,3383818,37.14,0
53.65,3362561,3383836,52.59,0
53.69,3362575,3383862,59.73,0
53.73,3362574,3383878,61.93,0
53.79,3362566,3383922,61.36,0
53.83,3362575,3383973,58.54,0
53.87,3362594,3383997,56.03,0
53.91,3362567,3384025,53.72,0
53.95,3362597,3384072,49.5,0
54.01,3362564,3384054,43.0,0
54.05,3362530,3384030,30.79,0
54.09,3362490,3383881,9.86,0
54.13,3362366,3383621,-22.09,1
54.17,3362398,3383637,-60.54,0
54.21,3362439,3383668,-84.24,0
54.22,3362454,3383788,-78.15,0
54.26,3362472,3383882,-48.35,0
54.30,3362425,3383815,-12.65,0
54.34,3362420,3383785,11.75,0
54.38,3362396,3383745,19.62,0
54.44,3362346,3383697,12.83,0
54.48,3362365,3383704,-2.04,1
54.52,3362404,3383785,-10.54,0
54.56,3362418,3383842,-3.11,0
54.60,3362409,3383789,15.07,0
54.66,3362399,3383846,32.13,0
54.70,3362362,3383793,38.66,0
54.74,3362347,3383836,31.57,0
54.78,3362349,3383818,16.58,0
54.82,3362292,3383747,-0.15,0
54.86,3362245,3383577,-19.23,1
54.90,3362168,3383383,-42.43,0
54.94,3362127,3383341,-67.67,0
54.98,3362207,3383442,-81.43,0
55.02,3362193,3383466,-69.56,0
55.06,3362242,3383603,-35.45,0
55.10,3362261,3383651,9.34,0
55.14,3362211,3383551,48.75,0
55.18,3362175,3383525,65.64,0
