Time (s),Red,IR,filtered,isZeroX
43.22,2819146,3110677,0,0
43.26,2819143,3110664,0,0
43.30,2819154,3110727,0,0
43.34,2819171,3110829,0,0
43.38,2819195,3110938,0,0
44.27,2819229,3111076,0,0
44.31,2819215,3111083,0,0
44.35,2819225,3111086,0,0
44.39,2819233,3111119,0,0
44.43,2819235,3111163,0,0
44.49,2819238,3111213,0,0
44.53,2819267,3111251,0,0
44.57,2819268,3111306,0,0
44.61,2819290,3111348,0,0
44.65,2819275,3111365,0,0
44.69,2819299,3111397,0,0
44.69,2819295,3111459,0,0
44.73,2819352,3111487,0,0
44.77,2819350,3111496,0,0
44.81,2819304,3111324,0,0
44.85,2819215,3111068,0,0
44.90,2819170,3110995,0,0
44.94,2819186,3111062,0,0
44.98,2819239,3111195,0,0
45.02,2819287,3111316,0,0
45.06,2819322,3111390,0,0
45.10,2819335,3111412,0,0
45.14,2819327,3111418,0,0
45.18,2819320,3111438,0,0
45.22,2819313,3111491,0,0
45.26,2819358,3111527,0,0
45.30,2819331,3111572,0,0
45.34,2819379,3111597,0,0
45.38,2819388,3111637,0,0
45.42,2819383,3111636,0,0
45.46,2819389,3111631,0,0
45.52,2819381,3111664,0,0
45.56,2819392,3111683,0,0
45.60,2819395,3111703,0,0
45.64,2819366,3111622,0,0
45.68,2819298,3111398,0,0
45.74,2819228,3111211,0,0
45.78,2819207,3111204,0,0
45.82,2819242,3111262,0,0
45.86,2819274,3111344,0,0
45.90,2819288,3111413,0,0
45.94,2819285,3111437,0,0
45.95,2819279,3111433,0,0
45.99,2819282,3111419,0,0
46.03,2819284,3111407,0,0
46.07,2819254,3111409,0,0
46.11,2819279,3111406,0,0
46.17,2819273,3111442,0,0
46.21,2819280,3111491,0,0
46.25,2819286,3111507,0,0
46.29,2819299,3111548,0,0
46.33,2819324,3111559,0,0
46.39,2819308,3111540,0,0
46.43,2819307,3111601,0,0
46.47,2819279,3111503,0,0
46.51,2819202,3111270,0,0
46.55,2819140,3111102,0,0
46.59,2819127,3111059,0,0
46.59,2819171,3111139,0,0
46.63,2819180,3111248,0,0
46.67,2819232,3111348,0,0
46.71,2819232,3111390,0,0
46.75,2819234,3111374,0,0
46.81,2819221,3111374,0,0
46.85,2819228,3111396,0,0
46.89,2819246,3111458,0,0
46.93,2819252,3111478,0,0
46.97,2819285,3111453,0,0
47.03,2819277,3111542,0,0
47.07,2819262,3111543,0,0
47.11,2819246,3111537,0,0
47.15,2819277,3111578,0,0
47.19,2819291,3111617,0,0
47.24,2819299,3111587,0,0
47.28,2819227,3111376,0,0
47.32,2819129,3111125,0,0
47.36,2819130,3111070,0,0
47.40,2819130,3111123,0,0
47.46,2819180,3111232,0,0
47.50,2819204,3111341,0,0
47.54,2819239,3111432,0,0
47.58,2819251,3111453,0,0
47.62,2819258,3111477,0,0
47.66,2819253,3111519,0,0
47.68,2819271,3111551,0,0
47.72,2819270,3111593,0,0
47.76,2819281,3111624,0,0
47.80,2819304,3111656,0,0
47.84,2819304,3111667,0,0
47.88,2819312,3111680,0,0
47.92,2819340,3111712,0,0
47.96,2819350,3111774,0,0
48.00,2819380,3111828,0,0
48.04,2819367,3111839,0,0
48.10,2819318,3111694,0,0
48.14,2819293,3111581,0,0
48.18,2819327,3111672,0,0
48.22,2819362,3111801,0,0
48.26,2819403,3111903,0,0
48.30,2819422,3111975,0,0
48.30,2819399,3111953,0,0
48.34,2819364,3111852,0,0
48.38,2819354,3111775,0,0
48.42,2819341,3111709,0,0
48.46,2819313,3111710,0,0
48.51,2819340,3111779,0,0
48.55,2819400,3111954,0,0
48.59,2819490,3112153,0,0
48.63,2819543,3112251,0,0
48.67,2819515,3112187,0,0
48.73,2819463,3112069,0,0
48.77,2819470,3112068,0,0
48.81,2819483,3112094,0,0
48.85,2819533,3112181,0,0
48.89,2819484,3112005,0,0
48.93,2819411,3111809,0,0
48.97,2819366,3111687,0,0
49.01,2819351,3111619,0,0
49.05,2819361,3111689,0,0
49.09,2819367,3111694,0,0
49.13,2819330,3111596,0,0
49.17,2819310,3111500,0,0
49.21,2819277,3111439,0,0
49.25,2819277,3111439,0,0
49.29,2819259,3111413,0,0
49.35,2819288,3111403,0,0
49.39,2819285,3111468,0,0
49.43,2819320,3111561,0,0
49.47,2819319,3111602,0,0
49.51,2819333,3111614,0,0
49.55,2819356,3111697,0,0
49.55,2819333,3111699,0,0
49.59,2819332,3111653,0,0
49.63,2819260,3111464,0,0
49.67,2819143,3111099,0,0
49.71,2819124,3110951,0,0
49.78,2819109,3110969,0,0
49.82,2819121,3111049,0,0
49.86,2819164,3111184,0,0
49.90,2819205,3111292,0,0
49.94,2819236,3111383,0,0
50.00,2819230,3111356,0,0
50.04,2819238,3111330,0,0
50.08,2819213,3111333,0,0
50.12,2819232,3111317,0,0
50.16,2819216,3111322,0,0
50.20,2819218,3111344,0,0
50.20,2819206,3111418,0,0
50.24,2819281,3111523,0,0
50.28,2819312,3111614,0,0
50.32,2819342,3111676,0,0
50.36,2819318,3111670,0,0
50.40,2819283,3111507,0,0
50.44,2819153,3111183,0,0
50.48,2819060,3110932,0,0
50.52,2819041,3110866,0,0
50.56,2819079,3110995,0,0
50.62,2819131,3111173,0,0
50.66,2819185,3111333,0,0
50.70,2819226,3111428,0,0
50.74,2819241,3111484,0,0
50.78,2819226,3111469,0,0
50.82,2819193,3111404,0,0
50.86,2819178,3111375,0,0
50.90,2819170,3111326,0,0
50.94,2819187,3111315,0,0
50.98,2819187,3111311,0,0
51.02,2819227,3111445,0,0
51.06,2819272,3111548,0,0
51.10,2819298,3111703,0,0
51.14,2819298,3111693,0,0
51.25,2819106,3111114,0,0
51.29,2819006,3110883,0,0
51.33,2819010,3110878,0,0
51.37,2819030,3110996,0,0
51.41,2819092,3111082,0,0
51.45,2819114,3111254,0,0
51.49,2819158,3111368,0,0
51.53,2819188,3111386,0,0
51.57,2819177,3111374,0,0
51.61,2819175,3111394,0,0
51.67,2819193,3111396,0,0
51.71,2819178,3111410,0,0
51.75,2819189,3111454,0,0
51.79,2819208,3111504,0,0
51.83,2819219,3111573,0,0
51.87,2819268,3111669,0,0
51.87,2819319,3111824,0,0
51.91,2819389,3111996,0,0
51.95,2819395,3112037,0,0
51.99,2819291,3111797,0,0
52.03,2819138,3111387,0,0
52.08,2819018,3110984,0,0
52.12,2818982,3110827,0,0
52.16,2818980,3110803,0,0
52.20,2819005,3110921,0,0
52.23,2819023,3110990,0,0
52.30,2819022,3111049,0,0
52.34,2819013,3110977,0,0
52.38,2818999,3110942,0,0
52.42,2818988,3110943,0,0
52.46,2818999,3110941,0,0
52.52,2819001,3110979,0,0
52.56,2818998,3110990,0,0
52.60,2819012,3111063,0,0
52.64,2819023,3111081,0,0
52.68,2818992,3111077,0,0
52.72,2819010,3111094,0,0
52.72,2819023,3111153,0,0
52.76,2819024,3111191,0,0
52.80,2819004,3111152,0,0
52.84,2818930,3110833,0,0
52.88,2818813,3110509,0,0
52.92,2818754,3110458,0,0
52.96,2818764,3110491,0,0
53.00,2818805,3110609,0,0
53.04,2818843,3110721,0,0
53.08,2818876,3110778,0,0
53.14,2818863,3110768,0,0
53.18,2818876,3110747,0,0
53.22,2818860,3110809,0,0
53.26,2818887,3110859,0,0
53.30,2818897,3110916,0,0
53.35,2818904,3110946,0,0
53.39,2818928,3111016,0,0
53.43,2818927,3111068,0,0
53.47,2818955,3111119,0,0
53.51,2818970,3111118,0,0
53.57,2818978,3111149,0,0
53.61,2818961,3111228,0,0
53.65,2818983,3111233,0,0
53.69,2818927,3111076,0,0
53.73,2818782,3110679,0,0
53.77,2818682,3110422,0,0
53.79,2818681,3110432,0,0
53.83,2818711,3110527,0,0
53.87,2818759,3110682,0,0
53.91,2818814,3110813,0,0
53.95,2818826,3110881,0,0
53.99,2818843,3110887,0,0
54.03,2818829,3110876,0,0
54.07,2818838,3110896,0,0
54.11,2818854,3110924,0,0
54.15,2818864,3110966,0,0
54.21,2818876,3111002,0,0
54.25,2818877,3111033,0,0
54.29,2818904,3111073,0,0
54.33,2818904,3111092,0,0
54.37,2818906,3111118,0,0
54.41,2818910,3111152,0,0
54.43,2818917,3111191,0,0
54.47,2818932,3111240,0,0
54.51,2818934,3111223,0,0
54.55,2818828,3110910,0,0
54.59,2818719,3110573,0,0
54.64,2818669,3110534,0,0
54.68,2818713,3110624,0,0
54.72,2818771,3110803,0,0
54.76,2818855,3110982,0,0
54.80,2818859,3111089,0,0
54.86,2818909,3111155,0,0
54.90,2818903,3111183,0,0
54.94,2818917,3111228,0,0
54.98,2818917,3111282,0,0
55.02,2818954,3111343,0,0
55.08,2818960,3111379,0,0
55.12,2818982,3111410,0,0
55.16,2818991,3111456,0,0
55.20,2818990,3111473,0,0
55.24,2818988,3111475,0,0
55.28,2818991,3111520,0,0
55.32,2819018,3111571,0,0
55.36,2818965,3111461,0,0
55.40,2818870,3111137,0,0
55.50,2818754,3110819,0,0
55.54,2818770,3110877,0,0
55.58,2818812,3110996,0,0
55.62,2818852,3111077,0,0
55.66,2818873,3111124,0,0
55.72,2818867,3111107,0,0
55.76,2818863,3111118,0,0
55.80,2818822,3111069,0,0
55.84,2818820,3111109,0,0
55.88,2818847,3111176,0,0
55.93,2818890,3111249,0,0
55.97,2818899,3111300,0,0
56.01,2818889,3111307,0,0
56.05,2818903,3111346,0,0
56.09,2818910,3111371,0,0
56.15,2818928,3111374,0,0
56.19,2818935,3111419,0,0
56.23,2818936,3111420,0,0
56.27,2818872,3111275,0,0
56.31,2818758,3110935,0,0
56.35,2818695,3110753,0,0
56.39,2818717,3110771,0,0
56.43,2818739,3110877,0,0
56.47,2818780,3111019,0,0
56.51,2818821,3111093,0,0
56.55,2818826,3111137,0,0
56.59,2818826,3111140,0,0
56.63,2818803,3111094,0,0
56.67,2818806,3111111,0,0
56.71,2818821,3111120,0,0
56.77,2818835,3111170,0,0
56.81,2818832,3111214,0,0
56.85,2818844,3111215,0,0
56.89,2818866,3111281,0,0
56.93,2818861,3111316,0,0
56.97,2818856,3111314,0,0
56.97,2818885,3111324,0,0
57.01,2818880,3111351,0,0
57.05,2818886,3111403,0,0
57.09,2818903,3111436,0,0
57.13,2818849,3111301,0,0
57.17,2818725,3110964,0,0
57.22,2818688,3110793,0,0
57.26,2818694,3110806,0,0
57.30,2818716,3110870,0,0
57.34,2818743,3111005,0,0
57.40,2818793,3111112,0,0
57.44,2818805,3111133,0,0
57.48,2818807,3111147,0,0
57.52,2818801,3111126,0,0
57.56,2818811,3111112,0,0
57.60,2818805,3111153,0,0
57.64,2818814,3111187,0,0
57.68,2818841,3111223,0,0
57.72,2818851,3111248,0,0
57.76,2818857,3111265,0,0
57.80,2818868,3111295,0,0
57.84,2818873,3111324,0,0
57.88,2818882,3111356,0,0
57.92,2818875,3111377,0,0
57.96,2818895,3111434,0,0
58.00,2818902,3111475,0,0
58.04,2818908,3111462,0,0
58.08,2818824,3111242,0,0
58.12,2818736,3110962,0,0
58.16,2818718,3110901,0,0
58.20,2818717,3110962,0,0
58.24,2818781,3111096,0,0
58.28,2818813,3111207,0,0
58.33,2818836,3111304,0,0
58.37,2818863,3111331,0,0
58.43,2818868,3111360,0,0
58.47,2818853,3111357,0,0
58.51,2818866,3111374,0,0
58.55,2818900,3111363,0,0
58.59,2818904,3111413,0,0
58.63,2818902,3111512,0,0
58.65,2818930,3111557,0,0
58.69,2818934,3111524,0,0
58.73,2818926,3111577,0,0
58.77,2818943,3111572,0,0
58.80,2818934,3111571,0,0
58.85,2818936,3111553,0,0
58.89,2818920,3111636,0,0
58.93,2818924,3111656,0,0
58.97,2818882,3111516,0,0
59.01,2818796,3111208,0,0
59.07,2818755,3111088,0,0
59.11,2818771,3111205,0,0
59.15,2818797,3111267,0,0
59.19,2818829,3111354,0,0
59.23,2818850,3111352,0,0
59.29,2818830,3111330,0,0
59.33,2818841,3111309,0,0
59.37,2818808,3111330,0,0
59.41,2818835,3111374,0,0
59.45,2818851,3111414,0,0
59.50,2818868,3111445,0,0
59.54,2818874,3111495,0,0
59.58,2818881,3111515,0,0
59.62,2818878,3111539,0,0
59.66,2818865,3111530,0,0
59.72,2818882,3111570,0,0
59.76,2818906,3111609,0,0
59.80,2818882,3111569,0,0
59.84,2818813,3111346,0,0
59.88,2818705,3111069,0,0
59.94,2818670,3110977,0,0
59.98,2818692,3111037,0,0
60.02,2818740,3111126,0,0
60.06,2818760,3111239,0,0
60.10,2818782,3111303,0,0
60.14,2818793,3111317,0,0
60.14,2818785,3111341,0,0
60.18,2818799,3111332,0,0
60.22,2818778,3111356,0,0
60.26,2818795,3111385,0,0
60.30,2818815,3111440,0,0
60.36,2818802,3111450,0,0
60.40,2818813,3111463,0,0
60.44,2818801,3111494,0,0
60.48,2818809,3111469,0,0
60.52,2818823,3111482,0,0
60.58,2818824,3111508,0,0
