Time (s)	Red	IR
38.232	3086911	3374647
38.272	3086871	3374543
38.312	3086909	3374577
38.352	3086960	3374724
38.392	3087010	3374909
38.654	3087264	3375521
38.694	3087282	3375568
38.734	3087158	3375258
38.774	3086865	3374437
38.814	3086690	3373967
38.876	3086685	3373968
38.916	3086782	3374211
38.956	3086951	3374664
38.996	3087094	3375044
39.036	3087124	3375128
39.097	3087090	3375085
39.137	3087096	3375090
39.177	3087130	3375179
39.217	3087198	3375328
39.257	3087246	3375488
39.297	3087315	3375604
39.299	3087346	3375711
39.339	3087378	3375774
39.379	3087385	3375813
39.419	3087418	3375899
39.459	3087454	3376023
39.521	3087515	3376113
39.561	3087473	3376085
39.601	3087212	3375441
39.641	3086992	3374746
39.681	3086916	3374532
39.742	3086983	3374727
39.782	3087153	3375223
39.822	3087296	3375629
39.862	3087357	3375752
39.902	3087319	3375683
39.942	3087292	3375600
39.946	3087307	3375636
39.986	3087352	3375770
40.026	3087386	3375898
40.066	3087419	3375994
40.106	3087454	3376063
40.168	3087449	3376069
40.208	3087440	3376040
40.248	3087452	3376063
40.288	3087476	3376192
40.328	3087521	3376286
40.388	3087465	3376142
40.428	3087230	3375501
40.468	3086951	3374743
40.508	3086846	3374455
40.548	3086876	3374583
40.588	3087031	3374971
40.592	3087139	3375300
40.632	3087197	3375423
40.672	3087150	3375322
40.712	3087107	3375207
40.752	3087119	3375257
40.814	3087166	3375393
40.854	3087218	3375508
40.894	3087254	3375639
40.934	3087321	3375822
40.974	3087326	3375865
41.034	3087363	3375968
41.074	3087400	3376071
41.114	3087418	3376132
41.154	3087325	3375903
41.194	3087013	3375053
41.238	3086722	3374245
41.278	3086570	3373924
41.318	3086574	3373980
41.358	3086676	3374268
41.398	3086809	3374597
41.46	3086857	3374769
41.5	3086849	3374755
41.54	3086811	3374715
41.58	3086828	3374773
41.62	3086893	3374941
41.66	3086962	3375105
41.68	3087029	3375300
41.72	3087087	3375451
41.76	3087104	3375532
41.8	3087134	3375583
41.84	3087148	3375631
41.883	3087190	3375728
41.923	3087224	3375840
41.963	3087184	3375777
42.003	3086921	3375031
42.043	3086578	3374106
42.105	3086383	3373657
42.145	3086351	3373623
42.185	3086442	3373875
42.225	3086592	3374285
42.265	3086700	3374534
42.305	3086684	3374514
42.326	3086639	3374449
42.366	3086674	3374481
42.406	3086715	3374638
42.446	3086791	3374842
42.486	3086861	3375051
42.53	3086922	3375215
42.57	3086956	3375341
42.61	3086990	3375416
42.65	3086995	3375470
42.69	3087048	3375558
42.752	3087110	3375724
42.792	3087157	3375843
42.832	3087040	3375564
42.872	3086693	3374656
42.912	3086424	3373909
42.952	3086334	3373708
42.972	3086372	3373875
43.012	3086523	3374280
43.052	3086666	3374629
43.092	3086697	3374720
43.132	3086647	3374616
43.176	3086606	3374522
43.216	3086644	3374592
43.256	3086695	3374767
43.296	3086766	3374923
43.336	3086827	3375095
43.397	3086873	3375236
43.437	3086886	3375268
43.477	3086906	3375293
