Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
38230,1,60,816,1000,3086911,3374647,174251,0
38270,1,60,776,1000,3086871,3374543,695607,0
38310,1,60,736,1000,3086909,3374577,1.2923e+06,0
38350,1,60,696,1000,3086960,3374724,1.58209e+06,0
38390,1,60,656,1000,3087010,3374909,1.4682e+06,0
38650,1,60,396,1000,3087264,3375521,1.04711e+06,0
38690,1,60,356,1000,3087282,3375568,491693,0
38730,1,60,750,1000,3087158,3375258,-39789.4,1
38770,1,60,710,1000,3086865,3374437,-449872,0
38810,1,60,670,1000,3086690,3373967,-707625,0
38880,1,60,600,1000,3086685,3373968,-830154,0
38920,1,60,560,1000,3086782,3374211,-856832,0
38960,1,60,520,1000,3086951,3374664,-828035,0
39000,1,60,480,1000,3087094,3375044,-773322,0
39040,1,60,440,1000,3087124,3375128,-708648,0
39100,1,60,380,1000,3087090,3375085,-639353,0
39140,1,60,340,1000,3087096,3375090,-565231,0
39180,1,60,300,1000,3087130,3375179,-484994,0
39220,1,60,260,1000,3087198,3375328,-398862,0
39260,1,60,220,1000,3087246,3375488,-309242,0
39300,1,60,180,1000,3087315,3375604,-220093,0
39300,1,60,180,1000,3087346,3375711,-135783,0
39340,1,60,140,1000,3087378,3375774,-60068.7,0
39380,1,60,100,1000,3087385,3375813,4499.14,0
39420,1,60,60,1000,3087418,3375899,56713.3,0
39460,1,60,20,1000,3087454,3376023,96512,0
39520,1,60,960,1000,3087515,3376113,124632,0
39560,1,60,920,1000,3087473,3376085,142257,0
39600,1,60,880,1000,3087212,3375441,150742,0
39640,1,60,840,1000,3086992,3374746,151482,0
39680,1,60,800,1000,3086916,3374532,145884,0
39740,1,60,740,1000,3086983,3374727,135346,0
39780,1,60,700,1000,3087153,3375223,121204,0
39820,1,60,660,1000,3087296,3375629,104682,0
39860,1,60,620,1000,3087357,3375752,86854.2,0
39900,1,60,580,1000,3087319,3375683,68638.6,0
39940,1,60,540,1000,3087292,3375600,50816,0
39950,1,60,530,1000,3087307,3375636,34044.4,0
39990,1,60,490,1000,3087352,3375770,18851.2,0
40030,1,60,450,1000,3087386,3375898,5611.41,0
40070,0.967504,58,774,1033,3087419,3375994,-5458.92,1
40110,0.967504,58,734,1033,3087454,3376063,-14285.9,0
40170,0.967504,58,674,1033,3087449,3376069,-20912.8,0
40210,0.967504,58,634,1033,3087440,3376040,-25473.5,0
40250,0.967504,58,594,1033,3087452,3376063,-28160.4,0
40290,0.967504,58,554,1033,3087476,3376192,-29199.8,0
40330,0.967504,58,514,1033,3087521,3376286,-28840.1,0
40390,0.967504,58,454,1033,3087465,3376142,-27348.2,0
40430,0.967504,58,414,1033,3087230,3375501,-25010.5,0
40470,0.967504,58,374,1033,3086951,3374743,-22109.7,0
40510,0.967504,58,334,1033,3086846,3374455,-18873.6,0
40550,0.967504,58,294,1033,3086876,3374583,-15456,0
40590,0.967504,58,254,1033,3087031,3374971,-11970.8,0
40590,0.967504,58,254,1033,3087139,3375300,-8537.29,0
40630,0.967504,58,214,1033,3087197,3375423,-5296.07,0
40670,0.967504,58,174,1033,3087150,3375322,-2390.01,0
40710,0.967504,58,134,1033,3087107,3375207,72.4851,0
40750,0.967504,58,94,1033,3087119,3375257,2046.38,0
40810,0.967504,58,34,1033,3087166,3375393,3547.52,0
40850,0.967504,58,1027,1033,3087218,3375508,4622.08,0
40890,0.967504,58,987,1033,3087254,3375639,5319.61,0
40930,0.967504,58,947,1033,3087321,3375822,5685.94,0
40970,0.967504,58,907,1033,3087326,3375865,5763.25,0
41030,0.967504,58,847,1033,3087363,3375968,5591.35,0
41070,0.967504,58,807,1033,3087400,3376071,5216.16,0
41110,0.967504,58,767,1033,3087418,3376132,4688.06,0
41150,0.967504,58,727,1033,3087325,3375903,4048.55,0
41190,0.967504,58,687,1033,3087013,3375053,3318.02,0
41240,0.967504,58,637,1033,3086722,3374245,2511.92,0
41280,0.967504,58,597,1033,3086570,3373924,1681.43,0
41320,0.967504,58,557,1033,3086574,3373980,915.413,0
41360,0.967504,58,517,1033,3086676,3374268,297.779,0
41400,0.946913,56,792,1056,3086809,3374597,-132.088,1
41460,0.946913,56,732,1056,3086857,3374769,-393.464,0
41500,0.946913,56,692,1056,3086849,3374755,-547.355,0
41540,0.946913,56,652,1056,3086811,3374715,-657.126,0
41580,0.946913,56,612,1056,3086828,3374773,-755.162,0
41620,0.946913,56,572,1056,3086893,3374941,-836.35,0
41660,0.946913,56,532,1056,3086962,3375105,-879.07,0
41680,0.946913,56,512,1056,3087029,3375300,-870.085,0
41720,0.946913,56,472,1056,3087087,3375451,-812.015,0
41760,0.946913,56,432,1056,3087104,3375532,-720.583,0
41800,0.946913,56,392,1056,3087134,3375583,-615.866,0
41840,0.946913,56,352,1056,3087148,3375631,-511.964,0
41880,0.946913,56,312,1056,3087190,3375728,-414.073,0
41920,0.946913,56,272,1056,3087224,3375840,-321.084,0
41960,0.946913,56,232,1056,3087184,3375777,-235.743,0
42000,0.946913,56,192,1056,3086921,3375031,-180.08,0
42040,0.946913,56,152,1056,3086578,3374106,-187.765,0
42100,0.946913,56,92,1056,3086383,3373657,-260.094,0
42150,0.946913,56,42,1056,3086351,3373623,-343.396,0
42190,0.946913,56,2,1056,3086442,3373875,-365.406,0
42230,0.946913,56,1018,1056,3086592,3374285,-283.867,0
42270,0.946913,56,978,1056,3086700,3374534,-109.15,0
42300,0.946913,56,948,1056,3086684,3374514,100.432,0
42330,0.946913,56,918,1056,3086639,3374449,272.285,0
42370,0.946913,56,878,1056,3086674,3374481,367.229,0
42410,0.946913,56,838,1056,3086715,3374638,393.189,0
42450,0.946913,56,798,1056,3086791,3374842,379.887,0
42490,0.946913,56,758,1056,3086861,3375051,355.127,0
42530,0.946913,56,718,1056,3086922,3375215,333.242,0
42570,0.946913,56,678,1056,3086956,3375341,313.508,0
42610,0.946913,56,638,1056,3086990,3375416,288.153,0
42650,0.946913,56,598,1056,3086995,3375470,250.289,0
42690,0.946913,56,558,1056,3087048,3375558,199.983,0
42750,0.946913,56,498,1056,3087110,3375724,146.776,0
42790,0.946913,56,458,1056,3087157,3375843,100.378,0
42830,0.946913,56,418,1056,3087040,3375564,53.7759,0
42870,0.92764,55,808,1078,3086693,3374656,-26.1613,1
42910,0.92764,55,768,1078,3086424,3373909,-166.948,0
42950,0.92764,55,728,1078,3086334,3373708,-340.449,0
42970,0.92764,55,708,1078,3086372,3373875,-473.668,0
43010,0.92764,55,668,1078,3086523,3374280,-502.756,0
43050,0.92764,55,628,1078,3086666,3374629,-410.002,0
43090,0.92764,55,588,1078,3086697,3374720,-234.824,0
43130,0.92764,55,548,1078,3086647,3374616,-52.0807,0
43180,0.92764,55,498,1078,3086606,3374522,75.4583,0
43220,0.92764,55,458,1078,3086644,3374592,131.965,0
43260,0.92764,55,418,1078,3086695,3374767,141.87,0
43300,0.92764,55,378,1078,3086766,3374923,138.281,0
43340,0.92764,55,338,1078,3086827,3375095,141.963,0
43400,0.92764,55,278,1078,3086873,3375236,156.448,0
43440,0.92764,55,238,1078,3086886,3375268,171.985,0
43480,0.92764,55,198,1078,3086906,3375293,176.195,0
43520,0.92764,55,158,1078,3086936,3375380,164.559,0
43560,0.92764,55,118,1078,3086974,3375503,141.494,0
43600,0.92764,55,78,1078,3087042,3375692,116.023,0
43620,0.92764,55,58,1078,3087072,3375760,94.8635,0
43660,0.92764,55,18,1078,3086908,3375364,65.9229,0
43700,0.978137,58,766,1022,3086597,3374490,-4.66744,1
43740,0.978137,58,726,1022,3086356,3373902,-135.287,0
43780,0.978137,58,686,1022,3086321,3373885,-289.798,0
43820,0.978137,58,646,1022,3086431,3374183,-393.332,0
43860,0.978137,58,606,1022,3086618,3374681,-386.903,0
43900,0.978137,58,566,1022,3086746,3375031,-267.119,0
43940,0.978137,58,526,1022,3086758,3375036,-88.4033,0
43980,0.978137,58,486,1022,3086719,3374960,72.6257,0
44040,0.978137,58,426,1022,3086717,3374966,166.406,0
44080,0.978137,58,386,1022,3086783,3375117,192.799,0
44120,0.978137,58,346,1022,3086841,3375296,182.195,0
44160,0.978137,58,306,1022,3086910,3375450,164.024,0
44200,0.978137,58,266,1022,3086945,3375571,152.187,0
44240,0.978137,58,226,1022,3086972,3375626,145.527,0
44260,0.978137,58,206,1022,3086973,3375632,135.681,0
44300,0.978137,58,166,1022,3086961,3375663,114.723,0
