Time (s),Red,IR
17.496,2807554,3092343
17.536,2807555,3092362
17.576,2807574,3092398
17.616,2807595,3092452
17.656,2807625,3092495
17.7,2807632,3092558
17.74,2807653,3092599
17.78,2807659,3092654
17.82,2807676,3092702
17.86,2807682,3092738
17.902,2807695,3092792
17.942,2807699,3092845
17.982,2807726,3092899
18.022,2807753,3092968
18.062,2807755,3093022
18.104,2807761,3093064
18.144,2807690,3092863
18.184,2807573,3092567
18.224,2807528,3092404
18.264,2807509,3092378
18.304,2807516,3092373
18.344,2807521,3092420
18.384,2807535,3092505
18.424,2807555,3092575
18.464,2807565,3092615
18.506,2807558,3092635
18.546,2807567,3092681
18.586,2807588,3092774
18.626,2807602,3092855
18.666,2807612,3092917
18.709,2807643,3093021
18.749,2807652,3093083
18.789,2807672,3093176
18.829,2807703,3093253
18.869,2807717,3093310
18.914,2807727,3093365
18.954,2807751,3093429
18.994,2807769,3093476
19.034,2807762,3093505
19.074,2807714,3093349
19.115,2807570,3092981
19.155,2807470,3092727
19.195,2807446,3092646
19.235,2807443,3092642
19.275,2807459,3092663
19.317,2807484,3092730
19.357,2807481,3092788
19.397,2807490,3092796
19.437,2807493,3092828
19.477,2807515,3092887
19.522,2807539,3092991
19.562,2807560,3093057
19.602,2807570,3093137
19.642,2807588,3093197
19.682,2807596,3093255
19.722,2807618,3093303
19.723,2807626,3093351
19.763,2807635,3093396
19.803,2807650,3093433
19.843,2807666,3093493
19.883,2807671,3093555
19.928,2807682,3093600
19.968,2807657,3093546
20.008,2807533,3093247
20.048,2807428,3092954
20.088,2807402,3092862
20.133,2807370,3092845
20.173,2807389,3092857
20.213,2807392,3092929
20.253,2807410,3092994
20.293,2807412,3092994
20.336,2807401,3093003
20.376,2807414,3093049
20.416,2807430,3093112
20.456,2807434,3093168
20.496,2807460,3093242
20.54,2807463,3093277
20.58,2807468,3093331
20.62,2807481,3093375
20.66,2807492,3093414
20.7,2807489,3093450
20.745,2807507,3093491
20.785,2807508,3093537
20.825,2807533,3093584
20.865,2807527,3093632
20.905,2807498,3093536
20.947,2807362,3093228
20.987,2807257,3092948
21.027,2807220,3092866
21.067,2807223,3092854
21.107,2807222,3092887
21.153,2807244,3092953
21.193,2807263,3092995
21.233,2807261,3093017
21.273,2807256,3093033
21.313,2807264,3093072
21.358,2807258,3093125
21.398,2807291,3093189
21.438,2807308,3093249
21.478,2807304,3093290
21.518,2807316,3093337
21.558,2807338,3093393
21.564,2807346,3093439
21.604,2807352,3093484
21.644,2807362,3093534
21.684,2807377,3093591
21.724,2807387,3093633
21.764,2807394,3093668
21.804,2807348,3093587
21.844,2807230,3093248
21.884,2807126,3092982
21.924,2807095,3092907
21.97,2807075,3092892
22.01,2807080,3092923
22.05,2807091,3092967
22.09,2807112,3093028
22.13,2807107,3093059
22.17,2807112,3093077
22.21,2807123,3093092
22.25,2807137,3093165
22.29,2807149,3093224
22.33,2807174,3093268
22.378,2807184,3093322
22.418,2807197,3093404
22.458,2807216,3093435
22.498,2807219,3093486
22.538,2807223,3093532
22.582,2807251,3093574
22.622,2807256,3093611
22.662,2807274,3093682
22.702,2807274,3093721
22.742,2807257,3093664
22.786,2807148,3093382
22.826,2807028,3093078
22.866,2806980,3092961
22.906,2806984,3092942
22.946,2806983,3092952
22.992,2807012,3093006
23.032,2807011,3093074
23.072,2807020,3093111
23.112,2807029,3093117
23.152,2807036,3093167
23.192,2807051,3093221
23.196,2807075,3093286
23.236,2807075,3093359
23.276,2807097,3093406
23.316,2807109,3093469
23.356,2807109,3093510
23.399,2807137,3093572
23.439,2807148,3093618
23.479,2807156,3093648
23.519,2807157,3093689
23.559,2807186,3093750
23.602,2807191,3093793
23.642,2807182,3093773
23.682,2807066,3093483
23.722,2806958,3093191
23.762,2806927,3093086
23.803,2806900,3093069
23.843,2806905,3093081
23.883,2806924,3093144
23.923,2806933,3093188
23.963,2806935,3093210
24.004,2806917,3093207
24.044,2806928,3093248
24.084,2806936,3093285
24.124,2806948,3093343
24.164,2806962,3093387
24.208,2806960,3093405
24.248,2806966,3093472
24.288,2806970,3093490
24.328,2806980,3093539
24.368,2806993,3093559
24.412,2806993,3093597
24.452,2806997,3093629
24.492,2807007,3093683
24.532,2807007,3093697
24.572,2806960,3093565
24.616,2806826,3093231
24.656,2806751,3093039
24.696,2806739,3092985
24.736,2806725,3092987
24.776,2806733,3093012
24.818,2806749,3093080
24.858,2806762,3093146
24.898,2806764,3093163
24.938,2806769,3093176
24.978,2806770,3093216
25.022,2806788,3093254
25.062,2806800,3093302
25.102,2806809,3093360
25.142,2806823,3093408
25.182,2806818,3093449
25.222,2806831,3093474
25.227,2806833,3093520
25.267,2806852,3093559
25.307,2806858,3093609
25.347,2806866,3093625
25.387,2806872,3093684
25.432,2806875,3093670
25.472,2806778,3093421
25.512,2806660,3093103
25.552,2806607,3092962
25.592,2806591,3092921
25.636,2806589,3092932
25.676,2806596,3092957
25.716,2806615,3093027
25.756,2806626,3093071
25.796,2806618,3093093
25.843,2806628,3093116
25.883,2806636,3093170
25.923,2806646,3093225
25.963,2806658,3093284
26.003,2806685,3093347
26.044,2806692,3093403
26.084,2806702,3093459
26.124,2806709,3093484
26.164,2806728,3093527
26.204,2806729,3093577
26.244,2806749,3093634
26.284,2806755,3093679
26.324,2806776,3093720
26.364,2806748,3093693
26.404,2806649,3093390
26.45,2806530,3093116
26.49,2806492,3092983
26.53,2806496,3092959
26.57,2806485,3092977
26.61,2806511,3093028
26.655,2806527,3093091
26.695,2806525,3093115
26.735,2806522,3093122
26.775,2806534,3093185
26.815,2806559,3093232
26.855,2806570,3093303
26.857,2806583,3093363
26.897,2806588,3093409
26.937,2806613,3093452
26.977,2806617,3093489
27.017,2806603,3093509
27.063,2806614,3093541
27.103,2806629,3093591
27.143,2806624,3093639
27.183,2806645,3093709
27.223,2806654,3093708
27.264,2806575,3093530
27.304,2806456,3093203
27.344,2806393,3093048
27.384,2806386,3093030
27.424,2806378,3093044
27.468,2806401,3093102
27.508,2806426,3093171
27.548,2806426,3093199
27.588,2806418,3093192
27.628,2806431,3093219
27.673,2806454,3093269
27.713,2806437,3093301
27.753,2806457,3093358
27.793,2806459,3093405
27.833,2806473,3093464
27.874,2806478,3093508
27.914,2806477,3093543
27.954,2806494,3093594
27.994,2806513,3093659
28.034,2806524,3093713
28.074,2806541,3093765
28.114,2806519,3093730
28.154,2806405,3093444
28.194,2806287,3093137
28.234,2806234,3093001
28.275,2806225,3092972
28.315,2806235,3092988
28.355,2806245,3093041
28.395,2806257,3093091
28.435,2806266,3093131
28.479,2806264,3093130
28.519,2806273,3093166
28.559,2806286,3093207
28.599,2806293,3093278
28.639,2806313,3093313
28.684,2806327,3093366
28.724,2806339,3093410
28.764,2806350,3093465
28.804,2806360,3093494
28.844,2806369,3093524
28.891,2806364,3093575
28.931,2806389,3093608
28.971,2806407,3093654
29.011,2806400,3093656
29.051,2806305,3093388
29.091,2806183,3093095
29.095,2806130,3092953
29.135,2806118,3092921
29.175,2806118,3092915
29.215,2806117,3092948
29.255,2806156,3093021
29.297,2806158,3093054
29.337,2806155,3093057
29.377,2806149,3093057
29.417,2806156,3093113
29.457,2806162,3093138
29.506,2806182,3093185
29.546,2806199,3093249
29.586,2806217,3093288
29.626,2806206,3093328
29.666,2806222,3093379
29.713,2806237,3093409
29.753,2806235,3093459
29.793,2806260,3093499
29.833,2806258,3093558
29.873,2806264,3093568
29.919,2806213,3093404
29.959,2806072,3093072
29.999,2806013,3092895
30.039,2805984,3092845
30.079,2805993,3092834
30.124,2805982,3092871
30.164,2806022,3092904
30.204,2806021,3092961
30.244,2806034,3092959
30.284,2806036,3092964
30.324,2806042,3093012
30.328,2806070,3093076
30.368,2806074,3093132
30.408,2806096,3093160
30.448,2806114,3093225
30.488,2806113,3093270
30.534,2806112,3093324
30.574,2806145,3093355
30.614,2806150,3093402
30.654,2806158,3093429
30.694,2806169,3093484
30.736,2806175,3093551
30.776,2806195,3093575
30.816,2806093,3093351
30.856,2805988,3093053
30.896,2805939,3092932
30.94,2805923,3092904
30.98,2805933,3092925
31.02,2805948,3092982
31.06,2805973,3093054
31.1,2805959,3093069
31.141,2805965,3093073
31.181,2805961,3093108
31.221,2805992,3093168
31.261,2806000,3093223
31.301,2806009,3093270
31.344,2806014,3093311
31.384,2806031,3093371
31.424,2806034,3093417
31.464,2806047,3093447
31.504,2806053,3093502
31.549,2806053,3093547
31.589,2806080,3093585
31.629,2806078,3093647
31.669,2806090,3093646
31.709,2806000,3093423
31.755,2805873,3093103
31.795,2805832,3092976
31.835,2805817,3092948
31.875,2805824,3092962
31.915,2805844,3093026
31.955,2805864,3093102
31.956,2805874,3093119
31.996,2805849,3093125
32.036,2805863,3093156
32.076,2805876,3093189
32.116,2805901,3093232
32.162,2805904,3093308
32.202,2805923,3093355
32.242,2805931,3093406
32.282,2805934,3093463
32.322,2805951,3093500
32.362,2805966,3093551
32.402,2805980,3093601
32.442,2805983,3093652
32.482,2805995,3093704
32.522,2805990,3093692
32.563,2805886,3093409
32.603,2805766,3093102
32.643,2805716,3092969
32.683,2805705,3092913
32.723,2805701,3092918
32.765,2805705,3092948
32.805,2805722,3093022
32.845,2805739,3093069
32.885,2805738,3093063
32.925,2805750,3093102
32.966,2805754,3093144
33.006,2805766,3093194
33.046,2805791,3093248
33.086,2805802,3093297
33.126,2805815,3093364
33.173,2805834,3093383
33.213,2805835,3093437
33.253,2805835,3093475
33.293,2805852,3093521
33.333,2805867,3093577
33.377,2805890,3093636
33.417,2805889,3093663
33.457,2805820,3093467
33.497,2805695,3093121
33.537,2805628,3092971
33.578,2805616,3092925
33.618,2805624,3092915
33.658,2805615,3092941
33.698,2805640,3093024
33.738,2805656,3093073
33.778,2805648,3093077
33.818,2805657,3093100
33.858,2805664,3093130
33.898,2805688,3093209
33.938,2805710,3093256
33.984,2805706,3093313
34.024,2805726,3093357
34.064,2805750,3093425
34.104,2805753,3093483
34.144,2805768,3093525
34.189,2805764,3093586
34.229,2805786,3093657
34.269,2805809,3093719
34.309,2805826,3093769
34.349,2805783,3093664
34.389,2805655,3093324
34.396,2805569,3093066
34.436,2805537,3093000
34.476,2805532,3092985
34.516,2805528,3093002
34.556,2805546,3093077
34.597,2805576,3093133
34.637,2805569,3093164
34.677,2805573,3093165
34.717,2805587,3093208
34.757,2805604,3093254
34.804,2805622,3093321
34.844,2805636,3093373
34.884,2805645,3093438
34.924,2805657,3093469
34.964,2805676,3093505
35.008,2805693,3093566
35.048,2805691,3093602
35.088,2805707,3093642
35.128,2805726,3093715
35.168,2805752,3093798
35.214,2805737,3093763
35.254,2805625,3093491
35.294,2805522,3093216
35.334,2805480,3093122
35.374,2805490,3093123
35.42,2805493,3093174
35.46,2805520,3093265
35.5,2805543,3093318
35.54,2805537,3093309
35.58,2805533,3093322
35.622,2805553,3093420
35.662,2805574,3093471
35.702,2805594,3093537
35.742,2805591,3093569
35.782,2805602,3093606
35.829,2805611,3093653
35.869,2805616,3093675
35.909,2805631,3093732
35.949,2805634,3093778
35.989,2805664,3093834
36.031,2805670,3093839
36.071,2805592,3093685
36.111,2805464,3093352
36.151,2805408,3093173
36.191,2805383,3093126
36.238,2805394,3093151
36.278,2805406,3093202
36.318,2805435,3093271
36.358,2805442,3093294
36.398,2805439,3093295
36.442,2805450,3093302
36.482,2805453,3093347
36.522,2805451,3093390
36.562,2805469,3093426
36.602,2805488,3093475
36.649,2805496,3093515
36.689,2805512,3093553
36.729,2805518,3093596
36.769,2805523,3093631
36.809,2805533,3093644
36.849,2805543,3093684
36.889,2805556,3093710
36.929,2805533,3093651
36.969,2805420,3093379
37.009,2805321,3093104
37.054,2805277,3093004
37.094,2805266,3092961
37.134,2805258,3092960
37.174,2805274,3093014
37.214,2805302,3093095
37.257,2805312,3093133
37.297,2805319,3093146
37.337,2805321,3093174
37.377,2805333,3093231
37.417,2805348,3093299
37.458,2805370,3093340
37.498,2805380,3093388
37.538,2805389,3093432
37.578,2805393,3093461
37.618,2805408,3093478
37.659,2805414,3093517
37.699,2805437,3093562
37.739,2805448,3093586
37.779,2805432,3093572
37.819,2805334,3093340
37.864,2805255,3093053
37.904,2805187,3092907
37.944,2805165,3092870
37.984,2805173,3092861
38.024,2805172,3092902
38.07,2805186,3092965
38.11,2805209,3093008
38.15,2805212,3093021
38.19,2805203,3093033
38.23,2805217,3093070
38.276,2805217,3093090
38.316,2805227,3093162
38.356,2805240,3093206
38.396,2805246,3093255
