Time (s),Red,IR
1.07,2169,2200
1.11,2170,2165
1.16,2160,2144
1.20,2144,2144
1.24,2144,2144
1.28,2159,2172
1.32,2193,2212
1.36,2219,2146
1.40,2146,2146
1.44,2146,2146
1.49,2202,2189
1.53,2184,2180
1.57,2181,2133
1.61,2133,2133
1.65,2133,2133
1.69,2180,2184
1.73,2186,2190
1.77,2188,2135
1.81,2135,2135
1.85,2135,2135
1.91,2187,2224
1.95,2190,2200
1.99,2192,2145
2.03,2145,2145
2.07,2145,2151
2.13,2193,2199
2.17,2195,2190
2.21,2199,2171
2.25,2171,2171
2.29,2171,2171
2.33,2197,2195
2.37,2200,2202
2.41,2204,2160
2.45,2160,2160
2.49,2160,2160
2.55,2219,2204
2.59,2200,2205
2.63,2200,2219
2.67,2219,2219
2.71,2219,2219
2.75,2204,2205
2.79,2203,2203
2.83,2181,2181
2.88,2181,2181
2.98,2205,2206
3.02,2209,2209
3.06,2210,2187
3.10,2187,2187
3.14,2187,2187
3.20,2206,2207
3.24,2210,2208
3.28,2206,2192
3.32,2192,2192
3.36,2192,2192
3.40,2206,2207
3.44,2206,2208
3.48,2212,2199
3.52,2199,2199
3.56,2199,2199
3.62,2213,2210
3.66,2216,2239
3.70,2299,2219
3.74,2219,2219
3.78,2219,2219
3.82,2521,2996
3.86,3575,3680
3.90,3741,2188
3.94,2188,2188
3.98,2188,2188
4.04,3732,3850
4.08,4270,4822
4.12,5189,2168
4.16,2168,2168
4.20,2168,2168
4.26,5920,6676
4.30,6946,8639
4.34,11752,12376
4.38,2206,2206
4.42,2206,2206
4.46,2206,2206
4.46,12988,15147
4.50,16251,16089
4.54,18853,2206
4.58,2206,2206
4.62,2206,2206
4.68,21913,20957
4.72,21627,24717
4.76,27434,2209
4.80,2209,2209
4.84,2209,2209
4.90,26426,26064
4.94,31395,33695
4.98,34144,44247
5.02,2521,2521
5.06,2521,2521
5.10,2521,2521
5.12,310754,306535
5.17,306499,306449
5.21,306231,3732
5.25,3732,3732
5.29,3732,3732
5.33,307960,312169
5.37,316918,318636
5.41,318599,5920
5.45,5920,5920
5.49,5920,5920
5.55,318877,319196
5.59,321701,593570
5.63,593995,591876
5.67,12988,12988
5.71,12988,12988
5.75,12988,12988
5.75,592838,596967
5.79,601283,599821
5.83,598755,21913
5.87,21913,21913
5.91,21913,21913
5.97,597879,598116
6.01,600141,603481
6.05,604090,26426
6.09,26426,26426
6.13,26426,26426
6.17,875070,874659
6.21,874510,874560
6.25,874480,44247
6.29,44247,44247
6.33,44247,44247
6.39,875747,876538
6.43,877334,878322
6.47,879329,879719
6.51,307960,307960
6.55,307960,307960
6.59,307960,307960
6.59,880401,880940
6.63,1147392,1154311
6.67,1159117,318877
6.71,318877,318877
6.75,318877,318877
6.81,1159625,1158219
6.85,1157237,1157885
6.89,1158735,591876
6.93,591876,591876
6.97,591876,591876
7.03,1159057,1160095
7.07,1430699,1432686
7.11,1433230,1433247
7.15,597879,597879
7.19,597879,597879
7.23,597879,597879
7.23,1432582,1434471
7.27,1704783,1705985
7.31,1705740,875070
7.35,875070,875070
7.39,875070,875070
7.45,1703468,1701983
7.49,1702511,1703147
7.53,1703632,875747
7.57,875747,875747
7.61,875747,875747
7.65,1704206,1705296
7.69,1706989,1707077
7.73,1706695,879719
7.77,879719,879719
7.81,879719,879719
7.85,1707447,1707761
7.89,1707856,1708409
7.93,1708833,1159117
7.97,1159117,1159117
8.01,1159117,1159117
8.07,1710223,1713849
8.11,1714537,1719165
8.15,1720047,1158735
8.19,1158735,1158735
8.23,1158735,1158735
8.28,1982064,1981882
8.31,1981457,1982577
8.35,1433230,1433247
8.39,1433247,1433247
8.49,1981939,1984087
8.53,1987739,1988702
8.57,1989175,1705740
8.61,1705740,1705740
8.65,1705740,1705740
