Time (s),Red,IR
2976.12,2184,2180
2976.16,2204,2197
2976.20,2191,2200
2976.24,2200,2200
2976.28,2200,2200
2976.34,2187,2177
2976.38,2212,2176
2976.42,2173,2181
2976.46,2181,2181
2976.50,2181,2181
2976.55,2167,2156
2976.59,2174,2155
2976.63,2152,2170
2976.67,2170,2170
2976.71,2170,2170
2976.75,2130,2151
2976.79,2152,2146
2976.83,2149,2178
2976.87,2178,2178
2976.91,2178,2178
2976.97,2144,2147
2977.01,2140,2150
2977.05,2159,2152
2977.09,2173,2173
2977.13,2173,2173
2977.17,2173,2173
2977.17,2145,2141
2977.21,2146,2162
2977.25,2149,2191
2977.29,2191,2191
2977.33,2191,2191
2977.37,2149,2143
2977.41,2136,2164
2977.45,2155,2191
2977.49,2191,2191
2977.53,2191,2191
2977.57,2158,2146
2977.61,2163,2151
2977.65,2155,2173
2977.69,2173,2173
2977.73,2173,2173
2977.78,2140,2143
2977.82,2149,2143
2977.86,2146,2152
2977.89,2152,2152
2977.93,2152,2152
2978.00,2148,2140
2978.04,2139,2161
2978.08,2147,2149
2978.12,2149,2149
2978.16,2149,2149
2978.22,2140,2148
2978.26,2147,2149
2978.30,2148,2154
2978.34,2152,2152
2978.38,2152,2152
2978.42,2152,2152
2978.44,2154,2147
2978.48,2147,2154
2978.52,2142,2149
2978.56,2149,2149
2978.60,2149,2149
2978.66,2143,2150
2978.70,2148,2142
2978.74,2143,2147
2978.78,2158,2158
2978.82,2158,2158
2978.86,2158,2158
2978.86,2150,2147
2978.90,2145,2144
2978.94,2141,2140
2978.98,2140,2140
2979.02,2140,2140
2979.08,2139,2143
2979.12,2102,2144
2979.16,2150,2148
2979.20,2148,2148
2979.24,2148,2148
2979.31,2146,2147
2979.35,2153,2150
2979.39,2141,2139
2979.43,2148,2148
2979.47,2148,2148
2979.51,2148,2148
2979.51,2146,2146
2979.55,2147,2142
2979.59,2152,2154
2979.63,2154,2154
2979.67,2154,2154
2979.73,2130,2170
2979.77,2149,2148
2979.81,2144,2143
2979.85,2143,2143
2979.89,2143,2143
2979.93,2155,2142
2979.97,2153,2147
2980.01,2146,2147
2980.05,2147,2147
2980.09,2147,2147
2980.15,2129,2161
2980.19,2166,2153
2980.23,2143,2149
2980.27,2139,2139
2980.31,2139,2139
2980.35,2139,2139
2980.35,2143,2104
2980.39,2150,2143
2980.43,2149,2146
2980.47,2146,2146
2980.51,2146,2146
2980.55,2143,2129
2980.59,2145,2168
2980.63,2144,2139
2980.67,2139,2139
2980.71,2139,2139
2980.77,2143,2155
2980.81,2147,2142
2980.85,2147,2152
2980.89,2152,2152
2980.93,2152,2152
2980.98,2140,2145
2981.02,2144,2144
2981.06,2142,2144
2981.10,2144,2144
2981.14,2144,2144
2981.20,2141,2147
2981.24,2138,2142
2981.28,2144,2146
2981.32,2129,2129
2981.36,2129,2129
2981.40,2129,2129
2981.40,2141,2123
2981.44,2130,2149
2981.48,2146,2149
2981.52,2149,2149
2981.56,2149,2149
2981.60,2147,2144
2981.64,2170,2144
2981.68,2142,2149
2981.72,2149,2149
2981.76,2149,2149
2981.80,2146,2140
2981.84,2173,2149
2981.88,2145,2144
2981.92,2144,2144
2981.96,2144,2144
2982.01,2141,2145
2982.05,2132,2142
2982.09,2134,2147
2982.12,2147,2147
2982.16,2147,2147
2982.22,2142,2136
2982.26,2133,2154
2982.30,2141,2142
